Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
Asia,Afghanistan,None,2021-07-15,0.4079389655935349,0.27458944477232433,11.18428468988053,21.728212715489995,1.0,0.08583553407935543,0.2832275371655196,2.9787239854750514e-05,6.2938777876949,1.2394725904617396,65.51176619470644,26.643175194776536,0.008631729058909063
Europe,Albania,None,2021-07-15,0.3086073814879429,2.5325048757498787,0.058159503480079,1.3028136652187896,0.020051986983724304,0.011905509686479604,-0.3392029781335977,8.920062636575537,4.352371022151025e-05,1.0657670394369925,94.33842550508564,1.1094882163661584,0.0002514261244895011
Africa,Algeria,None,2021-07-15,1.7613963983380532,0.6155000581263304,2.0738916050952274,3.440529044171591,0.0334872987573461,0.0611049459421822,0.6555360899345483,2.325521181611514,0.0,0.2986183643240071,48.300480126131525,23.63793177995229,0.084980534500395
Europe,Andorra,None,2021-07-15,0.08946666620904978,1.7919379780693085,3.2000292100795886,0.6965812883862447,0.11156914049242275,0.002207177407158964,-1.0,6.447441126459676,2.755589429437069,2.544018277006964,67.90031482219969,8.795741336411247,0.016109415295258417
Africa,Angola,None,2021-07-15,0.9494573378879577,1.907932651846105,1.6561587341597641,13.905687019527775,1.0,0.07524789336196767,0.4429685274446403,5.820016301065568,3.9417701980002104,0.24150837984023338,46.82684096168161,27.856279496258296,0.0032400915134396385
North America,Antigua and Barbuda,None,2021-07-15,6.1461897597845585,1.160112868847026,-0.019930867349334,1.5647036730338193,0.2061850904602498,0.018024511730368106,-0.2893728117512432,83.41463017503975,2.498614041353282,1.3305248938007763,13.014884083730545,28.166438872775867,3.451999383563553e-08
South America,Argentina,None,2021-07-15,0.10917594207416516,0.6127748622372421,1.525609823250899,0.7189287125945182,0.057468591357208804,0.012024486761735106,-0.6602733141909929,0.1723687126819076,0.06614377832085862,0.4269128040698106,55.50309751185725,49.81835162459836,0.6590038318294625
Asia,Armenia,None,2021-07-15,0.5857227913555509,1.0114058331766245,2.423624424705962,0.5327463411059984,0.057824690997986566,0.01795540076630346,-1.0,0.5899421500756394,0.20686199841994432,0.5829294356581655,97.12400026083147,26.99001644936668,0.019401014746468354
Oceania,Australia,Australian Capital Territory,2021-07-15,3.9615127580665632,1.0143464516738139,-2.0394711214625665,0.4089515310388473,0.08504907316247487,0.004902065260409885,-0.4142394647533622,4.469871894994954,1.708090994579997,0.3444499916862065,24.010929716954333,4.220192635265304,0.2028050799374515
Oceania,Australia,New South Wales,2021-07-15,0.9048251231000541,0.1615831885487201,0.394542104008333,1.7725684238155273,0.05977833152733511,0.007104870694699603,-0.1307076004856667,0.0007038233562634,0.0875589738674325,4.184260041151821,4.662835609479558,42.15159395821451,2.7230447425404165
Oceania,Australia,Queensland,2021-07-15,1.71394882398355,1.0218498513962202,14.027564565298714,96.13677600952686,0.020000000000000004,0.0010000000000000009,-0.6731599701190261,1.191586854423162,1.5236882288918423,0.5338286196942194,62.46933623627864,14.32739174292876,0.0038534585344000977
Oceania,Australia,South Australia,2021-07-15,1.1911966399350429,0.0574538017933726,1.0950076230295036,0.0,0.020000000000000004,0.0010000000000000009,1.8342252302658848,0.0016363141046046442,5.744972103775105,6.068790121084026,46.72783858836214,27.310040891803883,0.0405187113593348
Oceania,Australia,Tasmania,2021-07-15,0.30450449561114074,0.4394670121412133,13.68432922831299,5.539340214576504,0.020039470998151204,0.0010000000000000009,-0.0315688672432519,1.270721981507021,0.05854355250239321,2.8966233508315105,-25.60528098062888,15.062879550299067,0.1169362374604644
Oceania,Australia,Victoria,2021-07-15,1.5014879039296156,1.39120737020781,0.48313898468917643,0.446143884146291,0.041213769558464605,0.462620422849273,10.937085731335914,6.753482919082006,0.5841234078837054,0.5141981148859728,72.77878787858407,1.017328973434043,4.3545058375601964e-05
Oceania,Australia,Western Australia,2021-07-15,0.6681609439702432,3.301153944009012,-0.6538389643701297,3.834260673910995,0.020000000000000004,0.0010000000000000009,0.3112435449763686,6.02700684390022,2.9813830652805926,1.3578922152030002,73.0781186611422,1.0,0.0003464176523230028
Europe,Austria,None,2021-07-15,0.15051907209517307,1.011198390954537,1.830239005425094,0.29287238147280303,0.030673150461092147,0.004503504065565794,-0.5890126651026768,2.961212459846757,5.745924031139645,0.6692346049864543,96.353292260661,8.104121345868293,0.0013178740478540368
Asia,Azerbaijan,None,2021-07-15,0.4436932954426599,5.709537709976023,2.8058432829757636,4.8828904981226,0.12573264300162568,0.007321473767644235,-0.7904402634825024,0.7632854894715314,0.0,0.1476465401974531,88.78432328260713,5.334761861517925,0.0011189459722761724
Asia,Bahrain,None,2021-07-15,0.0834965576365231,0.9808094437797037,3.965383535898098,3.8528389402560994,0.1732890871506784,0.0012095047394853065,-0.2548023085722592,0.001724924353517135,0.11593080985007642,0.8356794027281124,87.73537970376796,110.26753092529357,0.03616344886332645
Asia,Bangladesh,None,2021-07-15,0.41211786078505636,2.7332730792578444,-0.5776313787946009,7.786521041389741,0.2197303991601728,0.0195730829264405,0.0196614942749949,0.002922452802997605,0.3219662946368753,0.06247545989967471,67.35791658082796,20.75762034205772,0.1200076247613541
North America,Barbados,None,2021-07-15,1.6204808265615898,0.41598838727765175,-1.2329218645063718,1.3682083860479068,0.6089245566983638,0.005567328042913683,-0.3978694082206262,1.5798832927227693,0.612716171293095,1.5751233603634585,16.356065517548757,88.52948201657807,0.0017965184402399803
Europe,Belarus,None,2021-07-15,0.45255124826749177,0.3509237942610316,-0.3953606852079918,0.0,0.052861295354128895,0.0099405955079893,0.0966332872178415,0.00014726432936680578,0.5733798845816486,0.5373636727894016,44.89116428662288,52.11572992558487,1.0238331375928125
Europe,Belgium,None,2021-07-15,0.2915920907686391,0.32772932893171,-27.912277191340653,8.272290991460086,0.020000481053525407,0.004438965065896319,-0.3531022602055662,0.8374917550019947,0.32399960750124723,3.029483987333778,101.22890780464937,83.51699265297181,1.3613480263472886
North America,Belize,None,2021-07-15,1.2265984659328846,0.36600294408512235,-0.5348043105068708,0.0,0.059569280652773074,0.020034365451732566,0.09417479313365094,1.2130501034030994,1.7405625520111887,0.5123969209517492,-5.380748722004807,195.3042352820535,0.021413556170119516
Africa,Benin,None,2021-07-15,3.1496426969795497,2.470899391160263,5.733768546229244,2.3449255183228797,0.1462256953753866,0.013576881904301397,1.706448460136676,0.082473294988611,0.1704363701962697,3.867627708933421,-56.87918082939927,13.531578264607898,0.01158915152410124
Asia,Bhutan,None,2021-07-15,8.644700331111942,3.60505063293877,7.973013472463333,19.87414490255919,0.2278653085764496,0.007580896701067305,-1.0,13.487244933786766,0.008213122723379096,1.1694377852724067,74.83078970954548,1.0,2.6840897077329284e-05
South America,Bolivia,None,2021-07-15,0.12268402763249209,0.3452192453465078,-0.3277224857248252,0.007494586358016989,0.04802736373561339,0.03653925465063661,0.463600885579313,0.29891732489193346,0.3405253617787722,0.7850899808092244,81.06670497867582,6.149938107630665,0.08208322780958374
Europe,Bosnia and Herzegovina,None,2021-07-15,0.14560827994685172,1.7989654148760927,2.4934378717225223,0.8872410428246822,0.07894009107286722,0.029752531010363556,-0.5488908965550647,2.220758589207619,0.0004940242096409669,0.05102520528809955,99.9258605351776,140.56890033650117,0.0005065479477424084
Africa,Botswana,None,2021-07-15,2.0104757495208774,0.3302442892478031,2.03049235045677,0.0,0.1880452664705115,0.02503326635015911,0.8807880371194003,0.1108858051304035,2.220788353946931,1.83600567201539,1.780601196838744,8.248005755988181,0.0465296561029116
South America,Brazil,None,2021-07-15,0.681436265869092,0.3258672321804837,-1.7153916135231777,0.0,0.1320464585652909,0.0239533966248274,-0.0222735687927661,0.8111419898362978,0.3951713942237449,0.4098877263906935,-12.230601164548398,195.48162935172604,0.0618610943315666
Europe,Bulgaria,None,2021-07-15,0.19240574313054343,5.122330350174203,-0.7407970752086851,2.836305164670462,0.03041600275633144,0.08995847714409455,0.1618120499342358,0.5086886481291426,0.9016596287165091,0.15513866557150016,109.46497308972396,27.87077442235239,0.03036875295746784
Africa,Burkina Faso,None,2021-07-15,2.3661807664200807,0.3051680353049764,3.7499810125007507,2.6785893718371954,0.4765414293179237,0.5409610010533746,1.507036302784949,1.7360812187844272,0.44726514612871304,2.594020236316829,1.4654688221572343,77.709918753036,2.4615781352071986e-05
Africa,Burundi,None,2021-07-15,14.365264551408295,0.08072838663407889,8.297581460874687,19.46682527380986,0.2173385455744167,0.010387312860980769,2.8140480307816667,19.881085018829552,0.0,3.5113665618112333,2.161943060471077,356.9930270208038,0.05046461118947876
Africa,Cabo Verde,None,2021-07-15,0.7205524034830562,0.4103593006456667,-2.71371584295183,1.0992498938775042,0.1470237221080306,0.007529072778405602,-0.8888636463316115,1.7237466958473016,0.0017619817798184,1.5911405854888356,21.13250822798586,32.4581330692301,0.1141668066418662
Asia,Cambodia,None,2021-07-15,0.955327946212887,0.19250720524664638,-6.43021719689089,1.9289083266489693,0.06297689755069878,0.024739291948462847,-0.17584136396568972,1.039782891862886,5.343421657810765e-06,2.3654839200464264,50.00592069747565,21.272912092590296,0.5037139700361247
Africa,Cameroon,None,2021-07-15,12.14096528413098,3.7274394089060667,0.15612613987465873,0.6611719310764518,0.06926629941084352,0.5293013721760065,2.8888659178192864,0.002472979374050152,0.0013656930186944777,2.9554246015890264,-67.25208473956445,8.93940597062909,1.9382779173349185e-08
North America,Canada,Alberta,2021-07-15,0.5396078099867422,2.121803011896077,-4.447856392257809,1.871563500554335,0.0391527107061974,0.0083048456799516,-0.4544322700953474,0.1799810017332754,0.3742265040887576,0.1885592231551932,43.05451000360165,25.95227088251012,0.0101897085595644
North America,Canada,British Columbia,2021-07-15,0.28167854888949173,0.4795659334429096,-0.8987871587877403,0.071189059280341,0.020000000000000004,0.009112427120705702,-0.4302535321099592,0.4290204205859537,2.108414756900065,4.406081272272958,-25.88075523058944,21.249356429569847,0.0033416545406022014
North America,Canada,Manitoba,2021-07-15,0.3339922410396236,0.532291026974596,-2.1858329630939006,0.0,0.2092831589847624,0.04391532122860381,1.0095272983567056,0.004917256485712826,2.147088973512492,2.1201994340442747,-39.95396068021845,1.172718638922703,0.1006744154819434
North America,Canada,New Brunswick,2021-07-15,5.477082877790151,0.6164825306092008,-2.428248996522355,0.2102577492233252,0.020000000000000004,0.03649765698324514,-0.2713087660563842,2.187618013866801,2.4697465409912946,1.3663254916126844,57.51268483197637,5.02707002361319,0.287851690196663
North America,Canada,Newfoundland and Labrador,2021-07-15,7.646766066278545,0.8221434767980706,37.49078498087066,1.1622257678814163,0.1141764501439132,0.2773892350543567,1.1748249467987708,2.372462856339581,3.9657540563872655,0.8423440353171281,30.6754955755458,34.26007586816158,5.695760696422525e-09
