"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",1382,763,150,204,35,33
"2020-04-03",1495,796,159,221,40,35
"2020-04-04",1606,824,167,238,44,36
"2020-04-05",1715,848,174,254,49,38
"2020-04-06",1822,866,181,270,54,39
"2020-04-07",1925,881,187,285,59,40
"2020-04-08",2025,890,192,300,64,40
"2020-04-09",2122,896,197,315,69,41
"2020-04-10",2215,898,200,329,75,41
"2020-04-11",2304,896,203,342,80,42
"2020-04-12",2388,891,205,355,85,42
"2020-04-13",2469,882,207,367,90,42
"2020-04-14",2546,871,207,379,95,41
"2020-04-15",2619,857,208,390,100,41
"2020-04-16",2688,841,207,400,105,40
"2020-04-17",2754,824,206,410,110,40
"2020-04-18",2815,804,205,419,115,39
"2020-04-19",2873,783,203,428,119,38
"2020-04-20",2927,761,200,436,124,38
"2020-04-21",2978,738,198,443,128,37
"2020-04-22",3025,714,195,451,132,36
"2020-04-23",3070,689,191,457,136,35
"2020-04-24",3111,665,188,463,140,34
"2020-04-25",3150,640,184,469,144,33
"2020-04-26",3185,614,180,474,148,32
"2020-04-27",3219,589,175,479,151,31
"2020-04-28",3249,565,171,484,154,29
"2020-04-29",3278,540,167,488,158,28
"2020-04-30",3304,516,162,492,161,27
"2020-05-01",3329,492,157,496,163,26
"2020-05-02",3351,469,153,499,166,25
"2020-05-03",3372,446,148,502,169,24
"2020-05-04",3391,424,143,505,171,23
"2020-05-05",3408,403,139,508,174,22
"2020-05-06",3425,383,134,510,176,21
"2020-05-07",3439,363,129,513,178,20
"2020-05-08",3453,344,125,515,180,19
"2020-05-09",3465,325,120,517,182,18
"2020-05-10",3477,308,116,518,184,17
"2020-05-11",3487,291,111,520,186,16
"2020-05-12",3497,274,107,521,187,15
"2020-05-13",3506,259,103,523,189,15
"2020-05-14",3514,244,99,524,190,14
"2020-05-15",3521,230,95,525,192,13
"2020-05-16",3527,217,91,526,193,12
"2020-05-17",3533,204,87,527,194,12
"2020-05-18",3539,192,84,528,195,11
"2020-05-19",3544,181,80,528,197,10
"2020-05-20",3548,170,77,529,198,10
"2020-05-21",3553,160,74,530,198,9
"2020-05-22",3556,151,70,530,199,9
"2020-05-23",3560,141,67,531,200,8
"2020-05-24",3563,133,64,531,201,8
"2020-05-25",3566,125,62,532,202,7
"2020-05-26",3568,117,59,532,202,7
"2020-05-27",3571,110,56,532,203,6
"2020-05-28",3573,103,54,533,204,6
"2020-05-29",3574,97,51,533,204,6
"2020-05-30",3576,91,49,533,205,5
"2020-05-31",3578,85,47,533,205,5
"2020-06-01",3579,80,44,534,206,5
"2020-06-02",3580,75,42,534,206,4
"2020-06-03",3582,70,40,534,207,4
"2020-06-04",3583,66,38,534,207,4
"2020-06-05",3583,62,37,534,207,4
"2020-06-06",3584,58,35,534,208,3
"2020-06-07",3585,55,33,534,208,3
"2020-06-08",3586,51,32,535,208,3
"2020-06-09",3586,48,30,535,209,3
"2020-06-10",3587,45,29,535,209,3
"2020-06-11",3587,42,27,535,209,2
"2020-06-12",3588,40,26,535,209,2
"2020-06-13",3588,37,25,535,210,2
"2020-06-14",3589,35,24,535,210,2
"2020-06-15",3589,33,22,535,210,2
"2020-06-16",3589,31,21,535,210,2
"2020-06-17",3589,29,20,535,210,2
"2020-06-18",3590,27,19,535,211,2
"2020-06-19",3590,26,18,535,211,1
"2020-06-20",3590,24,17,535,211,1
"2020-06-21",3590,23,17,535,211,1
"2020-06-22",3590,21,16,535,211,1
"2020-06-23",3591,20,15,535,211,1
"2020-06-24",3591,19,14,535,211,1
"2020-06-25",3591,18,14,535,212,1
"2020-06-26",3591,17,13,535,212,1
"2020-06-27",3591,16,12,535,212,1
