"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",4065,2391,463,608,53
"2020-04-02",4523,2594,507,677,61
"2020-04-03",4998,2792,552,748,69
"2020-04-04",5485,2984,597,821,79
"2020-04-05",5983,3167,641,896,89
"2020-04-06",6489,3341,684,972,99
"2020-04-07",7000,3503,726,1048,110
"2020-04-08",7514,3653,766,1125,122
"2020-04-09",8028,3788,805,1203,134
"2020-04-10",8539,3910,841,1279,146
"2020-04-11",9047,4016,874,1355,159
"2020-04-12",9548,4106,905,1431,172
"2020-04-13",10041,4181,934,1504,185
"2020-04-14",10524,4241,960,1577,199
"2020-04-15",10997,4285,983,1648,213
"2020-04-16",11457,4314,1003,1717,226
"2020-04-17",11905,4329,1020,1784,240
"2020-04-18",12338,4330,1034,1849,254
"2020-04-19",12757,4318,1045,1912,268
"2020-04-20",13160,4293,1054,1972,282
"2020-04-21",13548,4257,1060,2031,296
"2020-04-22",13921,4210,1063,2086,310
"2020-04-23",14277,4153,1064,2140,323
"2020-04-24",14617,4088,1063,2191,336
"2020-04-25",14941,4014,1059,2240,349
"2020-04-26",15250,3933,1053,2286,362
"2020-04-27",15543,3846,1045,2330,375
"2020-04-28",15820,3754,1035,2371,387
"2020-04-29",16083,3656,1024,2411,399
"2020-04-30",16331,3555,1011,2448,410
"2020-05-01",16566,3451,996,2483,422
"2020-05-02",16786,3344,980,2516,433
"2020-05-03",16994,3236,963,2547,443
"2020-05-04",17189,3126,946,2577,454
"2020-05-05",17372,3016,927,2604,463
"2020-05-06",17543,2906,907,2630,473
"2020-05-07",17703,2796,887,2654,482
"2020-05-08",17853,2687,866,2676,491
"2020-05-09",17993,2579,845,2697,499
"2020-05-10",18123,2473,823,2717,508
"2020-05-11",18244,2368,801,2735,515
"2020-05-12",18357,2266,779,2752,523
"2020-05-13",18462,2166,757,2768,530
"2020-05-14",18560,2068,734,2782,537
"2020-05-15",18650,1973,712,2796,543
"2020-05-16",18734,1880,690,2808,550
"2020-05-17",18811,1791,668,2820,555
"2020-05-18",18883,1704,646,2831,561
"2020-05-19",18950,1621,625,2841,566
"2020-05-20",19011,1540,604,2850,571
"2020-05-21",19067,1462,583,2858,576
"2020-05-22",19120,1388,563,2866,581
"2020-05-23",19168,1316,542,2873,585
"2020-05-24",19212,1248,523,2880,589
"2020-05-25",19253,1182,503,2886,593
"2020-05-26",19290,1119,485,2892,597
"2020-05-27",19324,1059,466,2897,601
"2020-05-28",19356,1002,448,2902,604
"2020-05-29",19385,947,431,2906,607
"2020-05-30",19412,896,414,2910,610
"2020-05-31",19436,846,398,2914,613
"2020-06-01",19458,799,382,2917,615
"2020-06-02",19479,755,366,2920,618
"2020-06-03",19497,712,351,2923,620
"2020-06-04",19514,672,337,2925,622
"2020-06-05",19530,634,323,2928,625
"2020-06-06",19544,598,310,2930,627
"2020-06-07",19557,564,297,2932,628
"2020-06-08",19569,532,284,2934,630
"2020-06-09",19580,501,272,2935,632
"2020-06-10",19590,472,260,2937,633
"2020-06-11",19599,445,249,2938,635
"2020-06-12",19607,420,238,2939,636
"2020-06-13",19614,395,228,2940,638
"2020-06-14",19621,372,218,2941,639
"2020-06-15",19627,351,208,2942,640
"2020-06-16",19633,331,199,2943,641
"2020-06-17",19638,311,190,2944,642
"2020-06-18",19642,293,182,2945,643
"2020-06-19",19647,276,173,2945,644
"2020-06-20",19650,260,166,2946,645
"2020-06-21",19654,245,158,2946,646
"2020-06-22",19657,231,151,2947,646
"2020-06-23",19660,218,144,2947,647
"2020-06-24",19662,205,138,2948,648
