Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,Algeria,None,2022-08-11,267723,696,26,76,6877,5,,,267723,6877,267723,6877
Africa,Algeria,None,2022-08-12,267803,727,27,78,6877,5,,,267723,6877,268259,6878
Africa,Algeria,None,2022-08-13,267887,760,28,81,6877,6,,,267723,6877,268532,6878
Africa,Algeria,None,2022-08-14,267974,794,30,83,6877,6,,,267723,6877,268764,6878
Africa,Algeria,None,2022-08-15,268065,829,31,86,6877,6,,,267723,6877,268977,6879
Africa,Algeria,None,2022-08-16,268159,865,32,89,6877,6,,,267723,6877,269179,6879
Africa,Algeria,None,2022-08-17,268256,902,34,92,6877,7,,,267723,6877,269374,6879
Africa,Algeria,None,2022-08-18,268357,939,35,95,6877,7,,,267723,6877,269564,6879
Africa,Algeria,None,2022-08-19,268462,979,37,98,6878,7,,,267723,6877,269752,6880
Africa,Algeria,None,2022-08-20,268571,1019,38,101,6878,8,,,267723,6877,269940,6880
Africa,Algeria,None,2022-08-21,268683,1060,40,104,6878,8,,,267723,6877,270126,6881
Africa,Algeria,None,2022-08-22,268799,1102,41,108,6878,8,,,267723,6877,270312,6881
Africa,Algeria,None,2022-08-23,268918,1144,43,111,6878,9,,,267723,6877,270498,6881
Africa,Algeria,None,2022-08-24,269042,1188,45,115,6878,9,,,267723,6877,270687,6881
Africa,Algeria,None,2022-08-25,269169,1232,46,119,6878,9,,,267723,6877,270876,6881
Africa,Algeria,None,2022-08-26,269300,1277,48,123,6878,10,,,267723,6877,271067,6881
Africa,Algeria,None,2022-08-27,269435,1323,50,127,6879,10,,,267723,6877,271260,6882
Africa,Algeria,None,2022-08-28,269573,1369,52,131,6879,10,,,267723,6877,271454,6882
Africa,Algeria,None,2022-08-29,269715,1415,53,135,6879,11,,,267779,6877,271651,6882
Africa,Algeria,None,2022-08-30,269861,1462,55,140,6879,11,,,267872,6877,271850,6883
Africa,Algeria,None,2022-08-31,270010,1510,57,144,6879,11,,,267970,6877,272050,6883
Africa,Algeria,None,2022-09-01,270162,1557,59,149,6879,12,,,268071,6877,272253,6883
Africa,Algeria,None,2022-09-02,270318,1605,61,153,6880,12,,,268178,6877,272458,6884
Africa,Algeria,None,2022-09-03,270477,1652,63,158,6880,12,,,268289,6877,272665,6884
Africa,Algeria,None,2022-09-04,270639,1699,65,163,6880,13,,,268404,6877,272874,6884
Africa,Algeria,None,2022-09-05,270804,1746,67,168,6880,13,,,268523,6877,273085,6884
Africa,Algeria,None,2022-09-06,270972,1793,69,173,6880,13,,,268646,6877,273298,6884
Africa,Algeria,None,2022-09-07,271143,1839,71,178,6881,14,,,268772,6877,273514,6885
Africa,Algeria,None,2022-09-08,271316,1885,72,183,6881,14,,,268902,6877,273730,6885
Africa,Algeria,None,2022-09-09,271491,1929,74,189,6881,14,,,269034,6877,273948,6885
Africa,Algeria,None,2022-09-10,271668,1973,76,194,6881,15,,,269169,6877,274167,6885
Africa,Algeria,None,2022-09-11,271848,2015,78,199,6881,15,,,269308,6877,274388,6886
Africa,Algeria,None,2022-09-12,272029,2057,80,205,6882,15,,,269448,6877,274610,6887
Africa,Algeria,None,2022-09-13,272211,2097,81,210,6882,16,,,269590,6877,274832,6887
Africa,Algeria,None,2022-09-14,272395,2136,83,216,6882,16,,,269735,6877,275055,6887
Africa,Algeria,None,2022-09-15,272580,2173,85,221,6882,16,,,269881,6877,275279,6887
Africa,Angola,None,2022-08-11,98956,0,0,0,1900,0,,,98956,1900,98956,1900
Africa,Angola,None,2022-08-12,98956,0,0,0,1900,0,,,98956,1900,99920,1910
Africa,Angola,None,2022-08-13,98956,0,0,0,1900,0,,,98956,1900,100320,1914
Africa,Angola,None,2022-08-14,98956,0,0,0,1900,0,,,98956,1900,100626,1917
Africa,Angola,None,2022-08-15,98956,0,0,0,1900,0,,,98956,1900,100885,1919
Africa,Angola,None,2022-08-16,98956,0,0,0,1900,0,,,98956,1900,101112,1921
Africa,Angola,None,2022-08-17,98956,0,0,0,1900,0,,,98956,1900,101318,1923
Africa,Angola,None,2022-08-18,98956,0,0,0,1900,0,,,98956,1900,101507,1925
Africa,Angola,None,2022-08-19,98956,0,0,0,1900,0,,,98956,1900,101683,1927
Africa,Angola,None,2022-08-20,98956,0,0,0,1900,0,,,98956,1900,101849,1929
Africa,Angola,None,2022-08-21,98956,0,0,0,1900,0,,,98956,1900,102005,1930
Africa,Angola,None,2022-08-22,98956,0,0,0,1900,0,,,98956,1900,102154,1932
Africa,Angola,None,2022-08-23,98956,0,0,0,1900,0,,,98956,1900,102296,1933
Africa,Angola,None,2022-08-24,98956,0,0,0,1900,0,,,98956,1900,102433,1934
Africa,Angola,None,2022-08-25,98956,0,0,0,1900,0,,,98956,1900,102564,1936
Africa,Angola,None,2022-08-26,98956,0,0,0,1900,0,,,98956,1900,102691,1937
Africa,Angola,None,2022-08-27,98956,0,0,0,1900,0,,,98956,1900,102813,1938
Africa,Angola,None,2022-08-28,98956,0,0,0,1900,0,,,98956,1900,102932,1939
Africa,Angola,None,2022-08-29,98956,0,0,0,1900,0,,,98956,1900,103047,1941
Africa,Angola,None,2022-08-30,98956,0,0,0,1900,0,,,98956,1900,103159,1942
Africa,Angola,None,2022-08-31,98956,0,0,0,1900,0,,,98956,1900,103268,1943
Africa,Angola,None,2022-09-01,98956,0,0,0,1900,0,,,98956,1900,103375,1944
Africa,Angola,None,2022-09-02,98956,0,0,0,1900,0,,,98956,1900,103479,1945
Africa,Angola,None,2022-09-03,98956,0,0,0,1900,0,,,98956,1900,103580,1946
Africa,Angola,None,2022-09-04,98956,0,0,0,1900,0,,,98956,1900,103680,1947
Africa,Angola,None,2022-09-05,98956,0,0,0,1900,0,,,98956,1900,103777,1948
Africa,Angola,None,2022-09-06,98956,0,0,0,1900,0,,,98956,1900,103873,1949
Africa,Angola,None,2022-09-07,98956,0,0,0,1900,0,,,98956,1900,103966,1950
Africa,Angola,None,2022-09-08,98956,0,0,0,1900,0,,,98956,1900,104058,1951
Africa,Angola,None,2022-09-09,98956,0,0,0,1900,0,,,98956,1900,104149,1951
Africa,Angola,None,2022-09-10,98956,0,0,0,1900,0,,,98956,1900,104238,1952
Africa,Angola,None,2022-09-11,98956,0,0,0,1900,0,,,98956,1900,104325,1953
Africa,Angola,None,2022-09-12,98956,0,0,0,1900,0,,,98956,1900,104411,1954
Africa,Angola,None,2022-09-13,98956,0,0,0,1900,0,,,98956,1900,104495,1955
Africa,Angola,None,2022-09-14,98956,0,0,0,1900,0,,,98956,1900,104579,1956
Africa,Angola,None,2022-09-15,98956,0,0,0,1900,0,,,98956,1900,104661,1957
Africa,Benin,None,2022-08-11,26575,0,0,0,163,0,,,26575,163,26575,163
Africa,Benin,None,2022-08-12,26575,0,0,0,163,0,,,26575,163,27075,163
Africa,Benin,None,2022-08-13,26575,0,0,0,163,0,,,26575,163,27282,163
Africa,Benin,None,2022-08-14,26575,0,0,0,163,0,,,26575,163,27441,163
Africa,Benin,None,2022-08-15,26575,0,0,0,163,0,,,26575,163,27575,163
Africa,Benin,None,2022-08-16,26575,0,0,0,163,0,,,26575,163,27693,163
Africa,Benin,None,2022-08-17,26575,0,0,0,163,0,,,26575,163,27799,163
Africa,Benin,None,2022-08-18,26575,0,0,0,163,0,,,26575,163,27897,163
