"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",2296,1462,272,343,26,62
"2020-04-03",2641,1646,310,394,31,70
"2020-04-04",3005,1832,348,449,37,78
"2020-04-05",3388,2016,387,507,43,87
"2020-04-06",3783,2195,427,566,50,95
"2020-04-07",4188,2366,465,627,57,103
"2020-04-08",4600,2527,503,688,65,111
"2020-04-09",5013,2674,539,750,74,118
"2020-04-10",5425,2806,574,812,82,124
"2020-04-11",5834,2923,606,873,92,131
"2020-04-12",6235,3022,635,934,101,136
"2020-04-13",6628,3104,662,993,111,141
"2020-04-14",7010,3168,686,1050,121,145
"2020-04-15",7380,3215,707,1105,131,148
"2020-04-16",7737,3245,725,1159,142,150
"2020-04-17",8078,3260,740,1210,152,152
"2020-04-18",8405,3259,752,1259,162,153
"2020-04-19",8716,3244,762,1306,173,154
"2020-04-20",9011,3216,768,1350,183,154
"2020-04-21",9290,3177,772,1392,194,153
"2020-04-22",9553,3127,773,1431,204,152
"2020-04-23",9801,3068,772,1468,214,150
"2020-04-24",10033,3000,769,1503,223,148
"2020-04-25",10250,2926,764,1536,233,146
"2020-04-26",10453,2846,756,1566,242,143
"2020-04-27",10643,2761,748,1595,251,140
"2020-04-28",10819,2672,737,1621,260,136
"2020-04-29",10982,2581,726,1646,268,133
"2020-04-30",11134,2487,713,1668,276,129
"2020-05-01",11274,2392,699,1689,284,125
"2020-05-02",11403,2296,684,1709,292,121
"2020-05-03",11523,2201,669,1727,299,117
"2020-05-04",11633,2106,653,1743,306,113
"2020-05-05",11734,2012,636,1758,313,108
"2020-05-06",11827,1919,619,1772,319,104
"2020-05-07",11912,1828,602,1785,325,100
"2020-05-08",11990,1740,584,1797,331,96
"2020-05-09",12062,1653,566,1808,336,92
"2020-05-10",12127,1569,549,1817,341,88
"2020-05-11",12187,1488,531,1826,346,84
"2020-05-12",12241,1410,513,1835,351,80
"2020-05-13",12291,1334,496,1842,355,76
"2020-05-14",12336,1262,478,1849,359,72
"2020-05-15",12378,1192,461,1855,363,69
"2020-05-16",12415,1126,445,1861,367,65
"2020-05-17",12449,1063,428,1866,370,62
"2020-05-18",12480,1002,412,1870,374,59
"2020-05-19",12508,944,396,1875,377,56
"2020-05-20",12534,890,381,1878,380,53
"2020-05-21",12557,837,366,1882,383,50
"2020-05-22",12577,788,351,1885,385,47
"2020-05-23",12596,741,337,1888,388,44
"2020-05-24",12613,697,323,1890,390,42
"2020-05-25",12629,655,310,1893,392,40
"2020-05-26",12643,616,297,1895,394,37
"2020-05-27",12655,579,285,1897,396,35
"2020-05-28",12666,544,273,1898,398,33
"2020-05-29",12677,511,261,1900,400,31
"2020-05-30",12686,480,250,1901,401,29
"2020-05-31",12694,450,239,1902,403,28
"2020-06-01",12702,423,228,1904,404,26
"2020-06-02",12708,397,218,1905,405,24
"2020-06-03",12714,373,209,1906,407,23
"2020-06-04",12720,350,199,1906,408,21
"2020-06-05",12725,328,191,1907,409,20
"2020-06-06",12729,308,182,1908,410,19
"2020-06-07",12733,290,174,1908,411,18
"2020-06-08",12736,272,166,1909,412,17
"2020-06-09",12740,255,158,1909,413,16
"2020-06-10",12742,240,151,1910,413,15
"2020-06-11",12745,225,144,1910,414,14
"2020-06-12",12747,212,138,1910,415,13
"2020-06-13",12749,199,131,1911,416,12
"2020-06-14",12751,187,125,1911,416,11
"2020-06-15",12753,176,119,1911,417,10
"2020-06-16",12754,165,114,1911,417,10
"2020-06-17",12756,155,109,1912,418,9
"2020-06-18",12757,146,104,1912,418,9
"2020-06-19",12758,137,99,1912,419,8
"2020-06-20",12759,129,94,1912,419,7
"2020-06-21",12760,122,90,1912,420,7
"2020-06-22",12760,115,85,1912,420,7
"2020-06-23",12761,108,81,1912,420,6
"2020-06-24",12762,102,78,1913,421,6
"2020-06-25",12762,96,74,1913,421,5
"2020-06-26",12763,90,70,1913,421,5
