Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
South America,Colombia,None,2020-03-19,18.408907724281047,0.5296258117159519,-21.258232712033347,0.022818087991235757,1.6278069003711277,0.034980872549226556,5.744384242638338,0.52064959408614
Africa,Comoros,None,2020-05-30,12.602726640102434,1.2708822421206,-13.542395661460862,0.9134662554746529,0.04152435841624088,0.008304778573402135,0.10445043630642513,0.13435900417579325
Africa,Congo (Brazzaville),None,2020-04-15,6.628130075260078,0.8248112248256146,-40.49339475102045,0.26057985164867753,0.13040882184522634,0.031995651510094536,0.035487041163453595,0.3285344125967909
Africa,Congo (Kinshasa),None,2020-04-01,15.831776199098961,1.4183208618229708,-25.05539400380436,0.5040096642907839,3.789770686004749,0.021362175130088864,0.5808468433476797,0.07795552219475914
North America,Costa Rica,None,2020-03-21,17.950747483940784,0.6729405533856171,-438.8330725321399,0.027693490260583025,0.07153090922916218,0.008009447969897898,0.029522788690234815,0.5469767301244169
Africa,Cote d'Ivoire,None,2020-03-27,22.78925656196975,0.5056429690409504,-50.52506105943304,0.018580717280170904,2.3546241580708314,0.008923822692018298,0.08853609903861738,0.99015701829761
Europe,Croatia,None,2020-03-19,12.454125055274037,3.9275559755054403,-11.870275548399173,8.03625219346141,0.04699169379440935,0.05004593198010154,7.02665786583258,0.17647291716487018
North America,Cuba,None,2020-03-28,11.013811490791097,1.362968821351899,-22.935666850091,1.240145996570013,1.7822528290821653,0.03816192138095663,3.506571182057893,0.1129636774136672
Europe,Cyprus,None,2020-03-23,4.97501433775685,2.9481204267237837,-249.95271682490386,0.7137040515005341,0.5029756353935753,0.0173672405171433,3.474193654959497,0.0017596666252207363
Europe,Czechia,None,2020-03-13,51.201260808176755,0.46052331876594704,-40.50439502252824,0.2020890735576736,0.12222012087421302,0.03500914866841824,12.903590740542645,1.413790554116449
Europe,Denmark,None,2020-03-10,55.68107177422815,0.6444620927575029,0.02091383613936706,0.6178767978421672,0.5879364109242452,0.04967524254762183,1.0211508636713393,1.6681651290589126
Africa,Djibouti,None,2020-04-08,32.21665005494141,1.5165792584919375,-77.92266599478886,0.3167197973308743,0.016486732976339718,0.025510929440482367,0.9737312074527212,0.017431134485827657
North America,Dominican Republic,None,2020-03-21,23.26049113359137,0.861264188128392,-278.8722897397412,0.06919576502638543,6.26772211823618,0.028010887440317725,3.9314822384597523,7.195019838801063
South America,Ecuador,None,2020-03-18,16.566737732301434,1.3168939187485498,1.1453065244402116,1.1862622682548407,0.09569774687295966,0.09327351440478573,4.573411840825038,0.27917206810217476
Africa,Egypt,None,2020-03-14,19.33698477825206,0.5363439004414104,-18.20528126544128,0.0310631457218959,1.697942152870573,0.03942316135191314,4.15030772982068,0.4295622079937996
North America,El Salvador,None,2020-04-09,7.119836977624592,0.7260218149126109,-10.874710320884434,0.26688585708019485,0.07199422593364208,0.0275310078264569,1.277042248603664,0.21055714270209497
Africa,Equatorial Guinea,None,2020-04-24,22.193258968695297,2.3792666096181287,-4.0785232775305085,3.036202563397364,0.0509210591231929,0.02026488140162413,0.06274290843193651,0.11969020110709823
Europe,Estonia,None,2020-03-14,26.876902102613403,1.5825567700646983,-35.914239401603055,1.3211308343603023,0.077712716414574,0.037060945814320165,4.046145102352302,0.0004578075721439836
Africa,Ethiopia,None,2020-04-18,22.45364315065764,3.451344649399316,-5.884579331139192,1.5645358920764494,0.037209013159737465,0.04166040829822553,0.008636983279855362,0.003813785826872257
Europe,Finland,None,2020-03-13,45.4031284147259,2.7662410922878693,-14.78334627487279,2.3206553174137725,0.13974723847656895,0.048028774871070705,2.60759934480016,0.002203621721340636
Europe,France,None,2020-02-29,34.747467753877764,0.6541623943150513,24.946967900151417,2.2238435678778257,0.20869068056520151,0.1563794544129495,9.290952895110028,1.7167743922935983
Africa,Gabon,None,2020-04-17,12.745654642301648,1.9331793246656923,-8.37707818179319,1.3784016510080008,0.530564853421945,0.007220316221817715,0.5706544444746885,0.07693243128231006
Asia,Georgia,None,2020-03-30,7.0379254578660495,1.1456379616896981,-68.18835545815324,0.47394267420995273,0.20451574814402265,0.016536267306445626,0.7610753483260186,0.43651174326680225
Europe,Germany,None,2020-03-01,30.776574157528632,1.9145240798040992,10.491401765330407,4.270210996458617,0.05743035690458776,0.052641976865579296,1.3934679250554851,0.23620214563773745
Africa,Ghana,None,2020-03-26,13.617643652589752,1.805683679273883,-9.228655888988179,0.9187855824550785,0.4293244389563726,0.00494866656784252,0.37175855634364713,0.009091979203832982
Europe,Greece,None,2020-03-13,6.037806489931146,1.2225866783369397,-46.817766258119754,0.8902047861304127,0.10723145395493554,0.06069864854820153,4.307196328838232,0.006585751489524825
North America,Guatemala,None,2020-04-10,16.930042776954153,1.5005555534216746,-20.62724161786424,0.5046155316561544,0.05717348074707522,0.0705361119992728,0.43528199637062376,0.02051184281922824
Africa,Guinea,None,2020-04-04,8.907197694824152,2.817998869299451,-56.165115533321554,1.090647129645025,1.6443957553590807,0.005702466686876685,3.148936706134373,0.005196229073230535
