Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,Algeria,None,2022-01-24,228191,5942,239,749,6507,44,,,228191,6507,228191,6507
Africa,Algeria,None,2022-01-25,228702,6035,243,764,6517,45,,,228191,6508,231455,6526
Africa,Algeria,None,2022-01-26,229219,6128,247,780,6528,45,,,228191,6516,233112,6540
Africa,Algeria,None,2022-01-27,229742,6220,251,795,6538,46,,,228191,6523,234510,6553
Africa,Algeria,None,2022-01-28,230271,6312,255,811,6549,47,,,228191,6532,235776,6566
Africa,Algeria,None,2022-01-29,230806,6403,259,827,6559,48,,,228191,6540,236961,6578
Africa,Algeria,None,2022-01-30,231345,6493,262,844,6570,48,,,228191,6549,238088,6591
Africa,Algeria,None,2022-01-31,231890,6582,266,860,6580,49,,,228191,6557,239173,6603
Africa,Algeria,None,2022-02-01,232440,6670,270,876,6591,49,,,228191,6567,240226,6615
Africa,Algeria,None,2022-02-02,232993,6756,274,893,6602,50,,,228191,6576,241251,6628
Africa,Algeria,None,2022-02-03,233552,6840,278,910,6613,51,,,228191,6586,242257,6640
Africa,Algeria,None,2022-02-04,234114,6924,281,927,6624,51,,,228191,6595,243244,6653
Africa,Algeria,None,2022-02-05,234681,7006,285,944,6634,52,,,228191,6604,244217,6664
Africa,Algeria,None,2022-02-06,235252,7086,288,961,6645,53,,,228191,6614,245177,6676
Africa,Algeria,None,2022-02-07,235826,7164,292,978,6656,53,,,228191,6624,246126,6688
Africa,Algeria,None,2022-02-08,236403,7239,295,995,6667,54,,,228191,6634,247064,6700
Africa,Algeria,None,2022-02-09,236982,7312,299,1013,6678,54,,,228191,6643,247993,6713
Africa,Algeria,None,2022-02-10,237563,7382,302,1030,6689,55,,,228191,6653,248913,6725
Africa,Algeria,None,2022-02-11,238148,7451,305,1048,6699,55,,,228191,6662,249827,6736
Africa,Algeria,None,2022-02-12,238735,7517,308,1065,6710,56,,,228191,6672,250734,6748
Africa,Algeria,None,2022-02-13,239323,7581,311,1083,6721,56,,,228191,6682,251634,6760
Africa,Algeria,None,2022-02-14,239912,7640,314,1101,6732,57,,,228191,6692,252527,6772
Africa,Algeria,None,2022-02-15,240502,7697,317,1118,6743,57,,,228191,6702,253413,6784
Africa,Algeria,None,2022-02-16,241092,7750,320,1136,6753,57,,,228191,6712,254294,6794
Africa,Algeria,None,2022-02-17,241682,7800,322,1154,6764,58,,,228197,6722,255167,6806
Africa,Algeria,None,2022-02-18,242273,7848,325,1171,6775,58,,,228509,6732,256037,6818
Africa,Algeria,None,2022-02-19,242864,7892,327,1189,6785,58,,,228828,6741,256900,6829
Africa,Algeria,None,2022-02-20,243453,7932,330,1207,6796,59,,,229149,6751,257757,6841
Africa,Algeria,None,2022-02-21,244041,7967,332,1224,6806,59,,,229475,6760,258607,6852
Africa,Algeria,None,2022-02-22,244627,7999,334,1242,6816,59,,,229803,6769,259451,6863
Africa,Algeria,None,2022-02-23,245211,8027,335,1259,6827,59,,,230134,6780,260288,6874
Africa,Algeria,None,2022-02-24,245793,8052,337,1277,6837,60,,,230467,6789,261119,6885
Africa,Algeria,None,2022-02-25,246373,8072,339,1294,6847,60,,,230801,6798,261945,6896
Africa,Algeria,None,2022-02-26,246950,8088,340,1312,6857,60,,,231137,6807,262763,6907
Africa,Algeria,None,2022-02-27,247522,8100,341,1329,6867,60,,,231471,6817,263573,6917
Africa,Algeria,None,2022-02-28,248091,8107,342,1346,6877,60,,,231806,6826,264376,6928
Africa,Algeria,None,2022-03-01,248656,8110,343,1363,6887,60,,,232140,6835,265172,6939
Africa,Algeria,None,2022-03-02,249217,8108,344,1380,6896,60,,,232473,6843,265961,6949
Africa,Algeria,None,2022-03-03,249773,8103,344,1396,6906,60,,,232804,6853,266742,6959
Africa,Algeria,None,2022-03-04,250324,8093,345,1413,6915,60,,,233133,6861,267515,6969
Africa,Algeria,None,2022-03-05,250869,8078,345,1429,6924,60,,,233459,6869,268279,6979
Africa,Algeria,None,2022-03-06,251409,8059,345,1445,6933,60,,,233783,6878,269035,6988
Africa,Algeria,None,2022-03-07,251942,8035,345,1461,6942,59,,,234102,6886,269782,6998
Africa,Algeria,None,2022-03-08,252469,8006,344,1477,6951,59,,,234418,6894,270520,7008
Africa,Algeria,None,2022-03-09,252989,7973,344,1493,6960,59,,,234730,6903,271248,7017
Africa,Algeria,None,2022-03-10,253502,7936,343,1508,6969,59,,,235036,6911,271968,7027
Africa,Algeria,None,2022-03-11,254008,7895,342,1523,6977,58,,,235338,6918,272678,7036
Africa,Algeria,None,2022-03-12,254507,7849,341,1538,6985,58,,,235635,6926,273379,7044
Africa,Algeria,None,2022-03-13,254998,7799,340,1553,6993,58,,,235927,6933,274069,7053
Africa,Algeria,None,2022-03-14,255481,7744,339,1568,7001,57,,,236212,6940,274750,7062
Africa,Algeria,None,2022-03-15,255955,7685,337,1582,7009,57,,,236490,6948,275420,7070
Africa,Angola,None,2022-01-24,96287,7214,336,2030,1874,53,,,96287,1874,96287,1874
Africa,Angola,None,2022-01-25,96386,6834,323,2033,1878,50,,,96287,1874,99271,1908
Africa,Angola,None,2022-01-26,96473,6467,311,2035,1881,48,,,96287,1874,100552,1923
Africa,Angola,None,2022-01-27,96550,6115,299,2037,1884,45,,,96287,1874,101546,1935
Africa,Angola,None,2022-01-28,96617,5778,288,2039,1887,42,,,96287,1874,102386,1946
Africa,Angola,None,2022-01-29,96676,5454,277,2041,1890,40,,,96287,1874,103126,1956
