"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",6815,4302,804,1021,87,182
"2020-04-03",7858,4871,918,1177,103,207
"2020-04-04",8985,5465,1038,1346,122,233
"2020-04-05",10191,6077,1164,1527,142,260
"2020-04-06",11470,6700,1295,1719,165,288
"2020-04-07",12815,7323,1429,1921,190,317
"2020-04-08",14215,7941,1564,2131,217,345
"2020-04-09",15664,8544,1700,2348,246,373
"2020-04-10",17150,9126,1835,2571,278,401
"2020-04-11",18665,9680,1968,2798,311,428
"2020-04-12",20200,10199,2097,3028,347,453
"2020-04-13",21745,10680,2221,3260,384,477
"2020-04-14",23291,11117,2340,3492,423,499
"2020-04-15",24832,11508,2452,3723,463,520
"2020-04-16",26359,11850,2556,3952,504,539
"2020-04-17",27866,12142,2652,4178,547,555
"2020-04-18",29347,12383,2740,4400,591,570
"2020-04-19",30796,12573,2819,4618,635,582
"2020-04-20",32210,12713,2889,4830,680,592
"2020-04-21",33583,12804,2950,5036,726,600
"2020-04-22",34913,12848,3001,5235,771,606
"2020-04-23",36197,12846,3043,5428,817,610
"2020-04-24",37434,12802,3077,5613,863,612
"2020-04-25",38621,12717,3101,5791,908,612
"2020-04-26",39757,12596,3117,5962,953,610
"2020-04-27",40842,12440,3124,6125,998,606
"2020-04-28",41877,12253,3124,6280,1042,601
"2020-04-29",42860,12038,3116,6427,1085,594
"2020-04-30",43793,11799,3101,6567,1127,586
"2020-05-01",44676,11537,3080,6700,1169,577
"2020-05-02",45511,11257,3052,6825,1209,567
"2020-05-03",46298,10960,3019,6943,1249,555
"2020-05-04",47040,10650,2981,7054,1287,543
"2020-05-05",47736,10330,2938,7159,1325,530
"2020-05-06",48390,10001,2891,7257,1361,517
"2020-05-07",49003,9666,2841,7349,1396,502
"2020-05-08",49576,9327,2787,7435,1430,488
"2020-05-09",50112,8986,2730,7515,1462,473
"2020-05-10",50611,8645,2670,7590,1494,458
"2020-05-11",51077,8305,2609,7660,1524,442
"2020-05-12",51510,7968,2545,7725,1553,427
"2020-05-13",51913,7635,2481,7785,1581,411
"2020-05-14",52287,7306,2415,7841,1607,396
"2020-05-15",52633,6984,2348,7893,1633,381
"2020-05-16",52954,6669,2281,7942,1657,366
"2020-05-17",53251,6361,2214,7986,1680,351
"2020-05-18",53526,6062,2147,8027,1702,336
"2020-05-19",53780,5771,2080,8065,1723,321
"2020-05-20",54014,5489,2013,8100,1743,307
"2020-05-21",54229,5217,1947,8133,1762,294
"2020-05-22",54428,4954,1881,8163,1780,280
"2020-05-23",54611,4701,1817,8190,1798,267
"2020-05-24",54779,4457,1753,8215,1814,254
"2020-05-25",54933,4223,1690,8238,1829,242
"2020-05-26",55075,3999,1629,8260,1844,230
"2020-05-27",55205,3785,1569,8279,1858,219
"2020-05-28",55324,3580,1510,8297,1871,208
"2020-05-29",55433,3384,1453,8313,1883,197
"2020-05-30",55532,3197,1397,8328,1895,187
"2020-05-31",55624,3020,1342,8342,1906,177
"2020-06-01",55707,2851,1289,8354,1917,167
"2020-06-02",55783,2690,1238,8366,1926,158
"2020-06-03",55853,2537,1188,8376,1936,150
"2020-06-04",55916,2392,1140,8386,1944,142
"2020-06-05",55974,2255,1093,8394,1953,134
"2020-06-06",56027,2125,1047,8402,1961,126
"2020-06-07",56075,2002,1004,8410,1968,119
"2020-06-08",56118,1886,961,8416,1975,112
"2020-06-09",56158,1776,920,8422,1981,106
"2020-06-10",56194,1672,881,8427,1987,100
"2020-06-11",56227,1574,843,8432,1993,94
"2020-06-12",56257,1482,806,8437,1999,88
"2020-06-13",56284,1395,771,8441,2004,83
"2020-06-14",56308,1313,737,8445,2009,78
"2020-06-15",56331,1235,705,8448,2013,73
"2020-06-16",56351,1162,674,8451,2017,69
"2020-06-17",56369,1093,644,8454,2021,65
"2020-06-18",56386,1029,615,8456,2025,61
"2020-06-19",56401,968,587,8458,2029,57
"2020-06-20",56414,911,561,8460,2032,54
"2020-06-21",56426,857,535,8462,2035,50
"2020-06-22",56438,806,511,8464,2038,47
"2020-06-23",56448,759,487,8465,2041,44
"2020-06-24",56457,714,465,8467,2044,41
