"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",962,564,111,144,5
"2020-04-02",1058,601,120,159,6
"2020-04-03",1155,635,129,173,7
"2020-04-04",1254,668,137,188,7
"2020-04-05",1353,698,145,203,8
"2020-04-06",1453,725,153,218,9
"2020-04-07",1552,750,160,233,10
"2020-04-08",1651,772,168,248,11
"2020-04-09",1750,792,174,262,12
"2020-04-10",1847,809,180,277,13
"2020-04-11",1943,823,186,291,14
"2020-04-12",2038,835,191,306,15
"2020-04-13",2130,844,196,320,17
"2020-04-14",2221,850,200,333,18
"2020-04-15",2310,854,204,346,19
"2020-04-16",2396,856,207,359,20
"2020-04-17",2480,855,210,372,21
"2020-04-18",2562,852,212,384,22
"2020-04-19",2640,847,214,396,23
"2020-04-20",2717,840,215,407,24
"2020-04-21",2790,832,216,418,25
"2020-04-22",2860,822,216,429,27
"2020-04-23",2928,810,216,439,28
"2020-04-24",2993,797,215,449,29
"2020-04-25",3056,782,215,458,30
"2020-04-26",3115,767,213,467,31
"2020-04-27",3172,750,212,476,32
"2020-04-28",3226,733,210,484,33
"2020-04-29",3277,715,208,492,34
"2020-04-30",3326,697,205,499,35
"2020-05-01",3373,677,202,506,35
"2020-05-02",3417,658,199,513,36
"2020-05-03",3458,638,196,519,37
"2020-05-04",3498,618,193,525,38
"2020-05-05",3535,598,189,530,39
"2020-05-06",3570,578,186,535,40
"2020-05-07",3603,558,182,540,40
"2020-05-08",3634,538,178,545,41
"2020-05-09",3663,518,174,549,42
"2020-05-10",3690,498,170,554,42
"2020-05-11",3716,479,166,557,43
"2020-05-12",3740,460,162,561,44
"2020-05-13",3763,441,158,564,44
"2020-05-14",3784,423,153,568,45
"2020-05-15",3804,405,149,571,45
"2020-05-16",3822,388,145,573,46
"2020-05-17",3839,371,141,576,46
"2020-05-18",3855,354,136,578,47
"2020-05-19",3870,338,132,581,47
"2020-05-20",3884,323,128,583,48
"2020-05-21",3897,308,124,585,48
"2020-05-22",3909,294,120,586,48
"2020-05-23",3920,280,116,588,49
"2020-05-24",3930,266,112,590,49
"2020-05-25",3940,253,108,591,50
"2020-05-26",3949,241,105,592,50
"2020-05-27",3957,229,101,594,50
"2020-05-28",3964,217,98,595,50
"2020-05-29",3971,207,94,596,51
"2020-05-30",3978,196,91,597,51
"2020-05-31",3984,186,87,598,51
"2020-06-01",3989,176,84,598,51
"2020-06-02",3995,167,81,599,52
"2020-06-03",3999,159,78,600,52
"2020-06-04",4004,150,75,601,52
"2020-06-05",4008,142,72,601,52
"2020-06-06",4011,135,69,602,53
"2020-06-07",4015,128,66,602,53
"2020-06-08",4018,121,64,603,53
"2020-06-09",4021,114,61,603,53
"2020-06-10",4023,108,59,603,53
"2020-06-11",4026,102,56,604,53
"2020-06-12",4028,97,54,604,53
"2020-06-13",4030,92,52,604,54
"2020-06-14",4032,87,50,605,54
"2020-06-15",4033,82,48,605,54
"2020-06-16",4035,77,46,605,54
"2020-06-17",4036,73,44,605,54
"2020-06-18",4038,69,42,606,54
"2020-06-19",4039,65,40,606,54
"2020-06-20",4040,62,39,606,54
"2020-06-21",4041,58,37,606,54
"2020-06-22",4042,55,35,606,54
"2020-06-23",4043,52,34,606,54
"2020-06-24",4043,49,32,607,55
"2020-06-25",4044,47,31,607,55
"2020-06-26",4045,44,30,607,55
"2020-06-27",4045,42,28,607,55
