Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
Asia,Afghanistan,None,2021-05-01,0.37774701821280016,0.2690629909247835,1.2621596373139575e-19,1.1967168579616392,0.1290032836967568,0.028794397528003002,-1.0,1.5976814283343044,0.0014024765412223722,1.914289423596918,1.6242520747233653,45.66576954367542,0.030036927165683
Europe,Albania,None,2021-05-01,0.058635827380543626,0.31538267074711285,-34.13984519274956,3.1949551781895984,0.11628084748459713,0.07935163421180684,2.5753408172524166,4.467738108806927,3.9886877539752064e-07,3.248846949171267,83.59328146601166,26.449308447605222,0.009538144130916748
Africa,Algeria,None,2021-05-01,4.875520466092734,0.22305484603026463,0.2263160589576527,2.3795872152821715,0.4983014131349928,0.32941493140621647,2.2196282214625636,0.18429386258788005,6.527081910705817,2.207063063276684,23.433755365215855,152.55823887456904,0.0005670733353618923
Europe,Andorra,None,2021-05-01,0.41054733949032096,1.879293943009522,5.642282818244216,0.980721201275519,0.04058059969418268,0.0020958289898748844,-0.35182663208086895,0.4428562937713003,2.103074838770106,1.9561458188431549,64.65066662286691,14.61254831579699,0.03674973771416348
Africa,Angola,None,2021-05-01,0.3629175047066463,0.1344298840851068,-0.3600588565225328,3.3788290546003323,0.1105109151056169,0.024642645070795,-0.0760379651448645,5.110170495619988,0.0103649372806945,2.6637008568324254,78.17335344513627,59.2865535035854,0.2057688405599969
North America,Antigua and Barbuda,None,2021-05-01,5.687008244383549,0.0,-0.3244093781684967,0.4149758692231775,0.19892371613453644,0.3425754729170844,-1.0,30.272423855745284,0.0004685378979587401,0.4898318480302368,31.060689109279338,64.68178105428103,0.0013148991154146583
South America,Argentina,None,2021-05-01,0.18970125439479057,0.130946063115798,11.12001629268013,0.0,0.2300477553635624,0.013609306261533893,-0.7565373626935573,1.3612746904389963,1.7352785652846592e-08,3.2797148145932606,89.34832041317746,199.99955903044764,0.2969080126068859
Asia,Armenia,None,2021-05-01,1.7907877445296831,2.764755796479318,0.22111295846459086,0.6796869827313211,0.050361430218401074,0.07039809223647849,0.418722249335551,2.6963075779859458e-05,1.8015306871288495e-08,2.8309523905300775,-36.310536326902024,15.009231658626758,0.12793634393822362
Oceania,Australia,Australian Capital Territory,2021-05-01,0.12919896640826875,0.0,-0.909072867939309,15.00503582160974,0.9767524624938084,0.0010000000000000009,0.7952819762699215,0.0,0.0,0.0557072066367431,-10.0,50.0,0.0
Oceania,Australia,New South Wales,2021-05-01,3.6380117641799004,0.5223433427908752,1.0722175977631445,1.3626237094054912,0.020000000000000004,0.026540687404846483,-0.0070640811923519675,3.7122128280074924,11.014683565858649,1.4851133067820697,9.38053884626091,83.93689296843984,9.382927870935087e-06
