Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
Asia,Afghanistan,None,2022-03-15,0.14518296208941,0.29067452435930086,52.188987373495785,0.0,1.0,0.00638000353465705,-1.0,1.6038695400401886,1.2698385376722434,1.100820567756137,56.38432096583822,6.74224232803854,0.004188218810255606
Europe,Albania,None,2022-03-15,0.046084817514460905,0.5872372551498272,10.079988428931442,0.0,0.08530940515314461,0.0010000000000000009,9.187736766939599,0.05484377069383453,0.024243656825781237,2.5528713877016362,94.75587631623429,8.21482052999757,1.1887917482418349
Africa,Algeria,None,2022-03-15,0.003564462732052418,0.26286281252845756,-2.0004826032211818,2.470706654304427,0.3439723292734574,0.026310945858466092,4.138252675609529,0.3401419867165988,0.4717230093761927,2.130429526983761,121.95427863186394,65.98223148440664,0.0020988661734282904
Europe,Andorra,None,2022-03-15,4.442027338032716,0.0,0.2078938692587451,1.1092338212137296,1.0,0.0010000000000000009,2.3700485648038363,1.062106195456654,0.6626916522434267,0.1498870340464826,98.79404579102992,80.12989023327827,0.02700624361555981
Africa,Angola,None,2022-03-15,0.3922441573424322,1.427759545,12.05067112,18.19429115,0.0200951669999999,0.0011965979999997017,2.377998137,0.0012064190000000002,1.353325762,1.153378061,4.975688998,125.0797065,2.646494134950217e-13
North America,Antigua and Barbuda,None,2022-03-15,0.3505765987371442,0.5122982047864372,1.2406425043532991,2.6932760103287947,0.020000000000000004,0.13437877319693167,3.5354645191309753,1.6889682494889318,0.054905657634459454,1.6668935529650386,17.904113405129443,45.67601917250963,0.000397889407984367
South America,Argentina,None,2022-03-15,0.4995952061255257,6.316308732680034,0.7482719492426514,0.07747689348075268,0.04497750016631241,0.04244798730542278,5.070269404046018,1.679098227465338,3.0525487880320217,8.0312992329441,81.06174802245702,25.03491291729389,0.01310710014922209
Asia,Armenia,None,2022-03-15,0.042351759517777476,0.2661774957567295,5.745526430110334,1.1228809523388443,0.0946589040980903,0.0023208556239684014,1.6700720318985478,8.671507034652137e-08,0.0111292243477593,2.560406560328852,-15.842378175816997,126.85647379119033,0.3038415243773489
Oceania,Australia,Australian Capital Territory,2022-03-15,17.03360789124356,2.5501747348879538,1.769611098815427,1.5637262966535737,0.15218145685502954,0.032685329385250386,330.2519731717231,2.258303277299843,2.1228703773003565,2.787306311256163,118.40408915549264,28.70919730991624,0.0025737634254842656
Oceania,Australia,New South Wales,2022-03-15,13.858030321301644,3.149132624622007,4.772785106421841,5.298282291729892,0.9476328957010097,0.0025934138986869887,-0.19441200240388495,4.878961771932434,4.598776945459262,1.4578956543760226,98.93343861096714,36.30250039322484,0.003739797450479837
Oceania,Australia,Queensland,2022-03-15,8.619490600179734,1.4667552924808651,0.6009948478562751,0.49587342047741534,0.03629068950137697,0.014910313564752142,20.1674440700584,1.3259938893940748,0.9344674360956957,2.94859701999337,90.28903609169953,27.733853882093552,0.07458696280164194
Oceania,Australia,South Australia,2022-03-15,17.520971576320825,1.1182849839036721,-2.100608456392423,0.0600867716526465,0.25807192373345184,0.0365666725483509,23.759328977632798,7.723657588234248,6.309057569917813,19.9496397363804,96.129849525342,8.364120545677025,0.0038250947364177335
Oceania,Australia,Tasmania,2022-03-15,14.157299279860188,3.827879322000207,3.379804868319102,4.713512429508107,0.0306978620111044,0.0013748921948147225,1.3405473665757062,4.786438119135913,2.283124454745124,1.6388774662543035,121.65099021234576,32.680211713854256,0.0014097243094679524
Oceania,Australia,Victoria,2022-03-15,18.71011925973625,8.202850377,21.99680984,324.5012942,0.073490461,0.06830514,16.9693635,28.7970113,7.682598511,0.491987708,0.138882436,49.19948669,2.141772870167813e-12
Oceania,Australia,Western Australia,2022-03-15,28.301996794589527,12.337024353772149,17.722214568988058,21.620408756545828,0.020000000000000004,0.0010000000000000009,8.182030456519206,393.56685880069995,91.27378776442022,0.6331208830810753,104.02981412291021,22.631742749758732,7.91033905045424e-16
Europe,Austria,None,2022-03-15,7.8181678947045405,8.63637698652663,3.290773477616924,11.458001882264798,0.05586495757537864,0.033117231686095094,23.01543070973106,9.853589447091162,5.198284608094559,8.368176939814578,123.05652496813451,29.184121740515636,0.0014722222174393118
Asia,Azerbaijan,None,2022-03-15,0.04174591962006161,0.5767662803468707,-0.7173196016933736,24.74873514582397,0.16801862143269852,0.11057380901592996,5.057857688882245,1.346839610717278,0.7744195430822906,0.4779265161449674,4.557381964417649,199.9999824570528,0.0017825463777875333
Asia,Bahrain,None,2022-03-15,5.049980573295776,6.818479463943923,5.227382962988521,1.5007343509967908e-05,0.021255371928422112,0.0335828842069746,2.8932169381559665,12.454518030647757,4.017577436367997,4.9700487662789,4.999999997219523,199.99993590394683,2.9859281575062013e-09
Asia,Bangladesh,None,2022-03-15,0.007700960112553696,2.019837087553984,-4.6874225559817,10.923732778011559,0.17727768198087285,0.004882844242430684,0.6928478011794692,0.6955207486454309,0.849512013907487,0.6526100983343012,96.41130470194834,25.42517652254564,0.0015152279920389727
North America,Barbados,None,2022-03-15,4.5115582719528975,2.0464549377333157,-0.6248456686887292,5.769837402475321,0.0659002029610062,0.04957718832768626,3.19456866871366,2.1009882294862487,4.947129793996515,4.0182300420404005,65.13925381869578,22.484156394175034,0.007598362805866107
Europe,Belarus,None,2022-03-15,0.10133621734666437,0.8900618595831143,0.11034666206262336,0.781896056266741,0.06786320120041532,0.03221082085056143,8.009870134971589,1.2245602485815739,2.194286914811625,1.6478975622149794,-30.69011848142581,6.543241637927748,0.03757683879655063
Europe,Belgium,None,2022-03-15,3.2612919765298645,0.0,-64.11739494,0.752307874,0.025617142774106372,0.003364688346456979,-1.0,1.8946659904405037,0.0,5.186051557,2.9930061,50.03167868,0.09887349688888608
North America,Belize,None,2022-03-15,1.2152655918779696,5.260312519872415,2.2606735013268886,0.9470052693816804,0.0325879821057488,0.0068959925064582955,7.211547025443577,4.0144868289349045e-07,0.0,1.4088233235368035,17.86457641455251,37.68404382442551,16.462013697425874
