"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",1042,571,115,155,14
"2020-04-02",1121,590,121,166,16
"2020-04-03",1199,608,126,178,18
"2020-04-04",1277,623,132,190,20
"2020-04-05",1353,635,137,201,22
"2020-04-06",1428,645,141,213,24
"2020-04-07",1502,653,145,224,26
"2020-04-08",1574,659,149,234,27
"2020-04-09",1643,663,152,245,29
"2020-04-10",1711,664,154,255,31
"2020-04-11",1777,663,156,265,33
"2020-04-12",1840,661,158,274,35
"2020-04-13",1901,656,160,284,37
"2020-04-14",1960,650,161,292,39
"2020-04-15",2016,642,161,301,41
"2020-04-16",2070,633,161,309,43
"2020-04-17",2121,622,161,317,45
"2020-04-18",2170,611,160,324,47
"2020-04-19",2217,598,159,331,49
"2020-04-20",2261,584,158,337,51
"2020-04-21",2303,570,157,344,52
"2020-04-22",2342,555,155,350,54
"2020-04-23",2380,539,153,355,56
"2020-04-24",2415,523,151,361,57
"2020-04-25",2448,507,148,366,59
"2020-04-26",2479,490,146,370,60
"2020-04-27",2508,473,143,375,62
"2020-04-28",2536,456,140,379,63
"2020-04-29",2561,439,137,383,64
"2020-04-30",2585,423,134,386,66
"2020-05-01",2608,406,131,390,67
"2020-05-02",2629,390,128,393,68
"2020-05-03",2648,373,125,396,69
"2020-05-04",2666,358,121,398,70
"2020-05-05",2683,342,118,401,71
"2020-05-06",2699,327,115,403,72
"2020-05-07",2714,312,111,405,73
"2020-05-08",2727,297,108,407,74
"2020-05-09",2740,283,104,409,75
"2020-05-10",2751,270,101,411,76
"2020-05-11",2762,257,98,413,77
"2020-05-12",2772,244,95,414,78
"2020-05-13",2781,232,91,415,78
"2020-05-14",2789,220,88,417,79
"2020-05-15",2797,209,85,418,80
"2020-05-16",2804,198,82,419,80
"2020-05-17",2811,188,79,420,81
"2020-05-18",2817,178,76,421,81
"2020-05-19",2822,168,73,422,82
"2020-05-20",2828,159,71,422,82
"2020-05-21",2832,151,68,423,83
"2020-05-22",2837,143,65,424,83
"2020-05-23",2841,135,63,424,84
"2020-05-24",2844,127,60,425,84
"2020-05-25",2847,120,58,425,84
"2020-05-26",2851,113,55,426,85
"2020-05-27",2853,107,53,426,85
"2020-05-28",2856,101,51,427,85
"2020-05-29",2858,95,49,427,86
"2020-05-30",2860,90,47,427,86
"2020-05-31",2862,85,45,428,86
"2020-06-01",2864,80,43,428,87
"2020-06-02",2866,75,41,428,87
"2020-06-03",2867,71,39,428,87
"2020-06-04",2868,67,38,429,87
"2020-06-05",2870,63,36,429,87
"2020-06-06",2871,59,35,429,88
"2020-06-07",2872,56,33,429,88
"2020-06-08",2873,53,32,429,88
"2020-06-09",2873,50,30,429,88
"2020-06-10",2874,47,29,429,88
"2020-06-11",2875,44,28,430,88
"2020-06-12",2875,42,26,430,89
"2020-06-13",2876,39,25,430,89
"2020-06-14",2876,37,24,430,89
"2020-06-15",2877,35,23,430,89
"2020-06-16",2877,33,22,430,89
"2020-06-17",2878,31,21,430,89
"2020-06-18",2878,29,20,430,89
"2020-06-19",2878,27,19,430,89
"2020-06-20",2879,26,18,430,89
"2020-06-21",2879,24,17,430,89
"2020-06-22",2879,23,17,430,89
"2020-06-23",2879,22,16,430,90
"2020-06-24",2880,21,15,430,90
"2020-06-25",2880,19,14,430,90
"2020-06-26",2880,18,14,430,90
"2020-06-27",2880,17,13,430,90
"2020-06-28",2880,16,12,430,90
