"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",340,205,39,51,5
"2020-04-02",374,217,42,56,6
"2020-04-03",409,228,45,61,6
"2020-04-04",443,239,48,66,7
"2020-04-05",477,248,51,72,8
"2020-04-06",511,256,53,77,9
"2020-04-07",545,263,56,82,10
"2020-04-08",578,269,58,87,11
"2020-04-09",610,274,60,91,12
"2020-04-10",641,278,61,96,13
"2020-04-11",672,280,63,101,14
"2020-04-12",702,282,64,105,15
"2020-04-13",731,282,65,110,16
"2020-04-14",758,281,66,114,17
"2020-04-15",785,280,67,118,18
"2020-04-16",810,278,67,122,19
"2020-04-17",835,275,68,125,20
"2020-04-18",858,271,68,129,21
"2020-04-19",881,267,68,132,22
"2020-04-20",902,262,68,135,23
"2020-04-21",922,256,67,138,24
"2020-04-22",941,251,67,141,25
"2020-04-23",959,244,66,144,26
"2020-04-24",976,238,65,146,27
"2020-04-25",992,231,65,149,28
"2020-04-26",1007,224,64,151,29
"2020-04-27",1021,217,63,153,30
"2020-04-28",1035,210,61,155,30
"2020-04-29",1047,202,60,157,31
"2020-04-30",1059,195,59,159,32
"2020-05-01",1070,187,58,160,33
"2020-05-02",1080,180,56,162,33
"2020-05-03",1089,173,55,163,34
"2020-05-04",1098,166,54,165,35
"2020-05-05",1106,159,52,166,35
"2020-05-06",1114,152,51,167,36
"2020-05-07",1121,145,49,168,36
"2020-05-08",1127,138,48,169,37
"2020-05-09",1133,132,46,170,37
"2020-05-10",1139,126,45,171,38
"2020-05-11",1144,120,44,172,38
"2020-05-12",1149,114,42,172,39
"2020-05-13",1153,108,41,173,39
"2020-05-14",1157,103,39,174,40
"2020-05-15",1161,97,38,174,40
"2020-05-16",1165,92,37,175,40
"2020-05-17",1168,87,35,175,41
"2020-05-18",1171,83,34,176,41
"2020-05-19",1173,78,33,176,41
"2020-05-20",1176,74,32,176,41
"2020-05-21",1178,70,30,177,42
"2020-05-22",1180,66,29,177,42
"2020-05-23",1182,63,28,177,42
"2020-05-24",1184,59,27,178,42
"2020-05-25",1185,56,26,178,43
"2020-05-26",1187,53,25,178,43
"2020-05-27",1188,50,24,178,43
"2020-05-28",1189,47,23,178,43
"2020-05-29",1190,44,22,179,43
"2020-05-30",1191,42,21,179,44
"2020-05-31",1192,39,20,179,44
"2020-06-01",1193,37,19,179,44
"2020-06-02",1194,35,18,179,44
"2020-06-03",1195,33,18,179,44
"2020-06-04",1195,31,17,179,44
"2020-06-05",1196,29,16,179,44
"2020-06-06",1196,27,15,179,44
"2020-06-07",1197,26,15,180,45
"2020-06-08",1197,24,14,180,45
"2020-06-09",1198,23,13,180,45
"2020-06-10",1198,21,13,180,45
"2020-06-11",1198,20,12,180,45
"2020-06-12",1199,19,12,180,45
"2020-06-13",1199,18,11,180,45
"2020-06-14",1199,17,11,180,45
"2020-06-15",1199,16,10,180,45
"2020-06-16",1200,15,10,180,45
"2020-06-17",1200,14,9,180,45
"2020-06-18",1200,13,9,180,45
"2020-06-19",1200,12,8,180,45
"2020-06-20",1200,12,8,180,45
"2020-06-21",1200,11,8,180,45
"2020-06-22",1200,10,7,180,45
"2020-06-23",1200,10,7,180,46
"2020-06-24",1201,9,7,180,46
"2020-06-25",1201,9,6,180,46
"2020-06-26",1201,8,6,180,46
"2020-06-27",1201,8,6,180,46
"2020-06-28",1201,7,5,180,46
"2020-06-29",1201,7,5,180,46
"2020-06-30",1201,6,5,180,46
