"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",1631,855,175,245,29,38
"2020-04-03",1742,878,182,261,32,39
"2020-04-04",1850,895,189,277,36,40
"2020-04-05",1954,908,195,293,39,41
"2020-04-06",2054,916,200,308,42,42
"2020-04-07",2150,919,205,323,46,43
"2020-04-08",2243,919,208,336,50,43
"2020-04-09",2331,915,211,350,53,43
"2020-04-10",2415,907,213,362,57,43
"2020-04-11",2494,896,214,374,60,43
"2020-04-12",2569,883,215,385,63,43
"2020-04-13",2641,867,215,396,67,42
"2020-04-14",2708,849,214,406,70,42
"2020-04-15",2771,829,213,416,73,41
"2020-04-16",2830,808,211,425,76,40
"2020-04-17",2886,785,209,433,79,39
"2020-04-18",2938,761,206,441,82,38
"2020-04-19",2986,737,203,448,85,38
"2020-04-20",3032,712,200,455,88,37
"2020-04-21",3074,686,196,461,91,35
"2020-04-22",3113,660,193,467,93,34
"2020-04-23",3149,634,188,472,96,33
"2020-04-24",3183,608,184,477,98,32
"2020-04-25",3214,583,180,482,100,31
"2020-04-26",3243,557,175,486,103,30
"2020-04-27",3270,532,171,490,105,29
"2020-04-28",3294,508,166,494,107,28
"2020-04-29",3317,484,161,498,109,26
"2020-04-30",3338,461,156,501,110,25
"2020-05-01",3357,438,151,504,112,24
"2020-05-02",3375,416,147,506,114,23
"2020-05-03",3391,395,142,509,115,22
"2020-05-04",3406,374,137,511,117,21
"2020-05-05",3419,355,132,513,118,20
"2020-05-06",3432,336,128,515,120,19
"2020-05-07",3443,318,123,516,121,18
"2020-05-08",3453,300,119,518,122,17
"2020-05-09",3463,284,114,519,123,16
"2020-05-10",3472,268,110,521,124,16
"2020-05-11",3479,253,106,522,125,15
"2020-05-12",3487,238,102,523,126,14
"2020-05-13",3493,225,98,524,127,13
"2020-05-14",3499,212,94,525,128,13
"2020-05-15",3505,199,90,526,129,12
"2020-05-16",3509,188,86,526,129,11
"2020-05-17",3514,177,83,527,130,11
"2020-05-18",3518,166,79,528,131,10
"2020-05-19",3522,156,76,528,131,9
"2020-05-20",3525,147,73,529,132,9
"2020-05-21",3528,138,70,529,132,8
"2020-05-22",3531,130,67,530,133,8
"2020-05-23",3533,122,64,530,133,7
"2020-05-24",3536,115,61,530,134,7
"2020-05-25",3538,108,58,531,134,7
"2020-05-26",3539,101,56,531,135,6
"2020-05-27",3541,95,53,531,135,6
"2020-05-28",3543,89,51,531,135,5
"2020-05-29",3544,84,49,532,136,5
"2020-05-30",3545,79,46,532,136,5
"2020-05-31",3546,74,44,532,136,4
"2020-06-01",3547,70,42,532,137,4
"2020-06-02",3548,66,40,532,137,4
"2020-06-03",3549,62,38,532,137,4
"2020-06-04",3550,58,37,532,137,3
"2020-06-05",3550,54,35,533,138,3
"2020-06-06",3551,51,33,533,138,3
"2020-06-07",3551,48,32,533,138,3
"2020-06-08",3552,45,30,533,138,3
"2020-06-09",3552,43,29,533,138,2
"2020-06-10",3553,40,28,533,139,2
"2020-06-11",3553,38,26,533,139,2
"2020-06-12",3553,35,25,533,139,2
"2020-06-13",3554,33,24,533,139,2
"2020-06-14",3554,31,23,533,139,2
"2020-06-15",3554,29,22,533,139,2
"2020-06-16",3554,28,21,533,139,2
"2020-06-17",3554,26,20,533,139,1
"2020-06-18",3555,25,19,533,139,1
"2020-06-19",3555,23,18,533,140,1
"2020-06-20",3555,22,17,533,140,1
"2020-06-21",3555,21,16,533,140,1
"2020-06-22",3555,19,15,533,140,1
"2020-06-23",3555,18,15,533,140,1
"2020-06-24",3555,17,14,533,140,1
"2020-06-25",3555,16,13,533,140,1
