Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
Asia,Afghanistan,None,2021-07-15,0.4231932134246078,0.3151455343731817,10.953438921068733,10.864106339214278,1.0,0.0878826492941352,0.3309749381396768,3.9459175275272096e-05,3.715927323122613,1.0840775299412326,56.17277210708444,18.30002589358478,0.013468428632294902
Europe,Albania,None,2021-07-15,0.2881205238861712,2.5330819069949424,0.0579351903235563,1.3032296659138043,0.020000000000000004,0.011873097880508096,-0.343398781862442,8.925382390360703,4.2224140913135755e-05,1.1520432550772473,94.23867092484726,1.1337542956240392,0.00025158628763830015
Africa,Algeria,None,2021-07-15,1.5964396703386126,0.6155000581263304,2.0738916050952274,3.440529044171654,0.033487298757346115,0.061104945942182395,0.6555360899345483,2.325521181611514,0.0,0.29861836432401256,48.300480126131525,23.63793177995229,0.08498053450039518
Europe,Andorra,None,2021-07-15,0.12173488342897856,1.7781769660129387,3.2146345388250013,0.733058494579572,0.11466336339242661,0.0022385377572077397,-1.0,6.459786983122377,2.7197433646422895,2.5368136137384325,66.40285636538864,8.787134012063,0.01670407524930928
Africa,Angola,None,2021-07-15,1.6407369444525355,0.4454622749682302,-0.0736749237400522,15.644355331210544,0.0361230897881233,0.1014847696309435,0.6541534381243759,3.22529024520555,3.7712954673989216,0.963670839523823,44.67530132421021,40.13731870138788,0.03133996879838237
North America,Antigua and Barbuda,None,2021-07-15,6.009767898889392,1.160112868847026,-0.019930867349334,1.5647036730338193,0.2061850904602498,0.018024511730368203,-0.2893728117512432,83.41463017503975,2.498614041353282,1.3305248938007763,13.014884083730545,28.166438872775867,3.4577473898012023e-08
South America,Argentina,None,2021-07-15,0.11409140511109837,0.6099688330647043,1.552456354054908,0.7266855609957332,0.05389455201113161,0.0123286991056899,-0.5460047620988089,0.1722479294132521,0.0671683260544977,0.425126459165403,50.49449406420364,44.74620325016088,0.6599937067344215
Asia,Armenia,None,2021-07-15,0.3912176185516733,1.0234699869321666,2.664498980497202,0.5235289355943897,0.10528070866463185,0.016109523070836268,-0.9514340774031775,0.6198850486653036,0.218704680752148,0.5554025867654783,96.51482066790419,26.552276168626854,0.016023141283117576
Oceania,Australia,Australian Capital Territory,2021-07-15,4.499955895892007,3.430672160063474,-1.7806773925128716,1.5492035394527495,0.05387601890511594,0.006546297308543864,-0.29381027459724973,2.6898458798570215,0.6478927227619412,4.481852494697373,-17.267250513857018,14.877819450721539,1.0457142037123557e-05
Oceania,Australia,New South Wales,2021-07-15,0.8078855084833227,0.1615831885487201,0.394542104008333,1.7725684238155273,0.05977833152733511,0.007104870694699603,-0.1307076004856667,0.0007038233562634,0.0875589738674325,4.184260041151821,4.662835609479558,42.15159395821451,2.7230447425404165
