Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
Asia,Afghanistan,None,2022-03-15,0.15720910758764395,0.2722778264656488,52.188987373495785,0.0,1.0,0.006502657452895827,-1.0,1.6830593625585124,1.2855655175156115,1.3760257096951711,55.90897619178814,6.868257221071925,0.004661036456196144
Europe,Albania,None,2022-03-15,0.05766259316891799,0.6096012157504118,10.078166445596313,0.0015572166164288526,0.06510056115136449,0.0010758753572833318,9.186420161474581,0.044850526485542774,0.0231353006327749,2.92536788548449,96.4299046024761,7.868461138001576,1.1966755085902754
Africa,Algeria,None,2022-03-15,0.00356972131807476,0.2628628125286053,-2.0004826032211818,2.470706654304427,0.3439723292734574,0.026310945858466148,4.138252675609529,0.3401419867165988,0.4717230093761927,2.130429526983761,121.95427863186394,65.98223148440664,0.0020988661734283875
Europe,Andorra,None,2022-03-15,4.4033300907448805,0.0,0.2078938692587451,1.1092338212137296,1.0,0.0010000000000000009,2.3700485648038363,1.0630424794164632,0.661405243438043,0.1498870340464826,98.79404579102992,80.12989023327827,0.027015349944725472
Africa,Angola,None,2022-03-15,0.3909585292293739,1.427759545,12.05067112,18.19429115,0.0200951669999999,0.0011965979999997017,2.377998137,0.0012064190000000002,1.353325762,1.153378061,4.975688998,125.0797065,3.1788460752579795e-13
North America,Antigua and Barbuda,None,2022-03-15,0.36777652502118974,0.5116141515340068,1.2407871194915676,2.690018795582512,0.020000000000000004,0.13211221066080406,3.533273108758343,1.6898524447587255,0.05475900887972705,1.663469710527952,17.843865244526732,45.77333189657343,0.0004093966635734664
South America,Argentina,None,2022-03-15,0.47725989179445316,6.316308732680037,0.7482719492426514,0.0774768934807527,0.0449775001663124,0.042447987305422805,5.070269404046019,1.6790982274653383,3.0525487880320217,8.031299232944104,81.06174802245701,25.03491291729389,0.013107100149222006
Asia,Armenia,None,2022-03-15,0.04146837952004872,0.2661774957567295,5.745526430110334,1.1228809523388443,0.0946589040980903,0.0023208556239684014,1.6700720318985478,8.671507226165609e-08,0.0111292243477593,2.560406560328852,-15.842378175816997,126.85647379119033,0.3038415243773489
Oceania,Australia,Australian Capital Territory,2022-03-15,17.63662915617405,2.5483729147526253,1.8050677742945542,1.5267835300212327,0.13821215107185425,0.0698523098768515,329.24314918538454,2.2578328574819917,2.1221930044722925,2.7581185570022724,120.16331847974921,28.759315905857,0.0020670193700990658
Oceania,Australia,New South Wales,2022-03-15,13.508559425507865,3.1613020958110267,4.389256918557688,4.987370006875858,0.9631049217677443,0.0025717091959780725,-0.13242725826460386,4.839340948284027,4.619394982598441,1.6663772084917743,99.0597120328817,35.53041204349715,0.004217848521137213
Oceania,Australia,Queensland,2022-03-15,8.541980126644546,1.4741056978509213,0.610229619162427,0.4891579520629559,0.03224127195982175,0.01628612184887092,20.184885394053484,1.347756036007746,0.9654977361940217,2.9436772044646693,90.14529946472072,27.693335508475116,0.0720594226873885
Oceania,Australia,South Australia,2022-03-15,17.6216266142845,1.1182849839103894,-2.1006084563923726,0.060086771649431076,0.25807192373332555,0.03656667254767107,23.759328977639917,7.723657588234249,6.309057569919135,19.949639736387468,96.12984952443837,8.364120545693309,0.0038250947378799527
Oceania,Australia,Tasmania,2022-03-15,14.162657503343057,3.8278793220002068,3.379804868319102,4.713512429508107,0.0306978620111044,0.0013748921948147919,1.3405473665757062,4.786438119135913,2.283124454745124,1.6388774662543037,121.65099021234577,32.680211713854256,0.0014097243094681605
Oceania,Australia,Victoria,2022-03-15,18.488752021519034,8.202850377,21.99680984,324.5012942,0.073490461,0.06830514,16.9693635,28.7970113,7.682598511,0.491987708,0.138882436,49.19948669,2.1459778398735807e-12
Oceania,Australia,Western Australia,2022-03-15,29.638195687661103,12.199475849190293,17.567262251725683,18.017007297121523,0.020000000000000004,0.0010000000000000009,8.182030456519206,395.3662985107258,91.8913085875556,0.4806183112977121,103.85305415509966,23.151254054072414,7.91033905045424e-16
Europe,Austria,None,2022-03-15,7.608723409864413,8.709290833627948,3.2645545935695237,11.277792798750909,0.057769001849690374,0.03133705522054714,22.47469685681947,9.84455655831501,5.2062116659793265,8.199813306945195,122.39727552651482,31.344092244073064,0.0014903243862015164
Asia,Azerbaijan,None,2022-03-15,0.03879234450480343,0.5767662803468687,-0.7173196016933736,24.74873514582397,0.16801862143269966,0.11057380901593028,5.057857688882246,1.3468396107172778,0.7744195430823161,0.47792651614499065,4.557381964417649,199.99998245705274,0.0017825463777848688
Asia,Bahrain,None,2022-03-15,4.930596561256888,6.818479463943923,5.227382962988521,1.5007343509967908e-05,0.02125537192842264,0.03358288420697535,2.8932169381559665,12.454518030647755,4.017577436367997,4.9700487662789,4.999999997219523,199.99993590394683,3.153454927740107e-09
Asia,Bangladesh,None,2022-03-15,0.015791364372292248,2.031956766593336,-4.694291462870135,10.931283180236194,0.13212102454649238,0.005360830350215243,0.6952019003469538,0.6947541197504579,0.8494976141772013,0.6622874661700686,96.51674752070176,25.448760200084003,0.0013332621902495817
North America,Barbados,None,2022-03-15,4.514843886870988,2.0543267817879043,-0.5943579978625869,5.4773101733633265,0.06666891456493491,0.049836245811473265,3.1921143880741423,2.0997903515425405,4.944507725274861,4.00282292459488,65.62918357057941,22.515251606451415,0.007533257739414961
Europe,Belarus,None,2022-03-15,0.10181689443284998,0.8897487722013746,0.11031936448313735,0.7829231934964436,0.06779260330109209,0.03215513620450959,8.01033828501966,1.2244291012672082,2.1739444578153257,1.6481756001114354,-30.69028843250662,6.542533281973149,0.03787364809800563
Europe,Belgium,None,2022-03-15,3.218835357474152,0.0,-64.11739494,0.752307874,0.025703893211303813,0.0033610006974137546,-1.0,1.8946620153418483,0.0,5.186051557,2.9930061,50.03167868,0.09886790838233567
North America,Belize,None,2022-03-15,1.1462587793901589,5.260312519872415,2.2606735013268886,0.9470052693816804,0.0325879821057488,0.006895992506458393,7.211547025443577,4.0144868289349045e-07,0.0,1.4088233235368035,17.86457641455251,37.68404382442551,16.462013697425874
Africa,Benin,None,2022-03-15,0.9260024733362021,1.952609725,0.636652548,41.84176657,0.194833947,0.025813294,22.59497476,3.13549463,14.93429441,36.47985215,-42.5,50.0,0.0
Asia,Bhutan,None,2022-03-15,23.02659919411854,0.318583425632059,3.1659947564076742,10.52358538351133,0.681019932,0.0010000000000000009,1.873851554,4.0636379397551714e-07,3.2245328158450928,2.771498553506249,13.783912657032594,8.82092397723685,0.0170607031261161
South America,Bolivia,None,2022-03-15,0.3566316298165242,0.6878656838270067,3.268044969785071,162.8088232640156,0.0666940321925583,0.0021541399184707988,2.4261631579711915,3.474197127070755e-05,0.005166207171985002,1.709465614643763,110.54596525484055,63.09356111092691,1.7979418105429663
Europe,Bosnia and Herzegovina,None,2022-03-15,0.03809683539844791,0.2693920154784909,3.497901508610142,0.7057409578075902,0.27642536970228787,0.0263203637953814,0.0210338989809755,0.4720109129584398,0.6386163952474763,1.753528851130507,84.62665110310637,61.55100979733426,0.019721424118855704
Africa,Botswana,None,2022-03-15,0.9387029912792837,0.6815575939434955,-2.3587118096934985,18.518018282556774,1.0,0.0036568294632762094,2.9448634602456,10.336518455128491,0.020066150559566037,19.890572830893493,6.753482785282805,1.099409046384015,0.0019238799360382641
South America,Brazil,None,2022-03-15,0.20868945797397975,1.449531195,-0.587190499,8.546671577,0.020590797000000008,0.002095282000000101,-0.841710352,0.0640071349999659,0.015025786,1.929707834,86.4084746,47.75530054,2.580838488
