Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,Algeria,None,2022-03-26,266064,1374,116,1595,6890,10,,,266064,6890,266064,6890
Africa,Algeria,None,2022-03-27,266068,1288,111,1595,6891,9,,,266064,6890,267012,6904
Africa,Algeria,None,2022-03-28,266072,1208,106,1595,6892,9,,,266064,6890,267407,6911
Africa,Algeria,None,2022-03-29,266075,1133,101,1595,6893,8,,,266064,6890,267710,6916
Africa,Algeria,None,2022-03-30,266078,1062,97,1595,6894,7,,,266064,6890,267966,6921
Africa,Algeria,None,2022-03-31,266081,996,92,1595,6895,7,,,266064,6890,268192,6925
Africa,Algeria,None,2022-04-01,266083,934,88,1595,6895,7,,,266064,6890,268395,6928
Africa,Algeria,None,2022-04-02,266085,875,84,1595,6896,6,,,266064,6890,268583,6931
Africa,Algeria,None,2022-04-03,266087,820,81,1595,6897,6,,,266064,6890,268757,6935
Africa,Algeria,None,2022-04-04,266089,769,77,1595,6897,5,,,266064,6890,268921,6937
Africa,Algeria,None,2022-04-05,266090,720,74,1596,6898,5,,,266064,6890,269075,6940
Africa,Algeria,None,2022-04-06,266091,675,70,1596,6898,5,,,266064,6890,269222,6942
Africa,Algeria,None,2022-04-07,266093,633,67,1596,6899,4,,,266064,6890,269363,6945
Africa,Algeria,None,2022-04-08,266094,593,64,1596,6899,4,,,266064,6890,269498,6947
Africa,Algeria,None,2022-04-09,266095,555,61,1596,6900,4,,,266064,6890,269627,6950
Africa,Algeria,None,2022-04-10,266095,520,59,1596,6900,4,,,266064,6890,269751,6952
Africa,Algeria,None,2022-04-11,266096,488,56,1596,6900,3,,,266064,6890,269872,6954
Africa,Algeria,None,2022-04-12,266097,457,53,1596,6901,3,,,266064,6890,269989,6956
Africa,Algeria,None,2022-04-13,266097,428,51,1596,6901,3,,,266064,6890,270102,6958
Africa,Algeria,None,2022-04-14,266098,401,49,1596,6902,3,,,266064,6890,270213,6960
Africa,Algeria,None,2022-04-15,266098,376,47,1596,6902,3,,,266064,6890,270320,6962
Africa,Algeria,None,2022-04-16,266099,352,44,1596,6902,2,,,266064,6890,270425,6963
Africa,Algeria,None,2022-04-17,266099,330,42,1596,6902,2,,,266064,6890,270527,6965
Africa,Algeria,None,2022-04-18,266099,309,41,1596,6903,2,,,266064,6890,270626,6967
Africa,Algeria,None,2022-04-19,266100,289,39,1596,6903,2,,,266064,6890,270725,6969
Africa,Algeria,None,2022-04-20,266100,271,37,1596,6903,2,,,266064,6890,270820,6970
Africa,Algeria,None,2022-04-21,266100,254,35,1596,6903,2,,,266064,6890,270913,6971
Africa,Algeria,None,2022-04-22,266100,238,34,1596,6904,2,,,266064,6890,271005,6974
Africa,Algeria,None,2022-04-23,266100,223,32,1596,6904,1,,,266064,6890,271095,6975
Africa,Algeria,None,2022-04-24,266101,209,31,1596,6904,1,,,266064,6890,271185,6976
Africa,Algeria,None,2022-04-25,266101,196,29,1596,6904,1,,,266064,6890,271271,6977
Africa,Algeria,None,2022-04-26,266101,183,28,1596,6904,1,,,266064,6890,271357,6979
Africa,Algeria,None,2022-04-27,266101,172,27,1596,6904,1,,,266064,6890,271441,6980
Africa,Algeria,None,2022-04-28,266101,161,26,1596,6905,1,,,266064,6890,271524,6982
Africa,Algeria,None,2022-04-29,266101,151,24,1596,6905,1,,,266064,6890,271605,6983
Africa,Algeria,None,2022-04-30,266101,141,23,1596,6905,1,,,266064,6890,271686,6984
Africa,Algeria,None,2022-05-01,266101,133,22,1596,6905,1,,,266064,6890,271765,6985
Africa,Algeria,None,2022-05-02,266101,124,21,1596,6905,1,,,266064,6890,271843,6986
Africa,Algeria,None,2022-05-03,266101,116,20,1596,6905,1,,,266064,6890,271920,6988
Africa,Algeria,None,2022-05-04,266101,109,19,1596,6905,1,,,266064,6890,271996,6989
Africa,Algeria,None,2022-05-05,266101,102,18,1596,6905,1,,,266064,6890,272071,6990
Africa,Algeria,None,2022-05-06,266101,96,18,1596,6905,1,,,266064,6890,272145,6991
Africa,Algeria,None,2022-05-07,266101,90,17,1596,6906,1,,,266064,6890,272219,6993
Africa,Algeria,None,2022-05-08,266101,84,16,1596,6906,1,,,266064,6890,272291,6994
Africa,Algeria,None,2022-05-09,266101,79,15,1596,6906,0,,,266064,6890,272363,6995
Africa,Algeria,None,2022-05-10,266102,74,15,1596,6906,0,,,266064,6890,272434,6996
Africa,Algeria,None,2022-05-11,266102,69,14,1596,6906,0,,,266064,6890,272504,6997
Africa,Algeria,None,2022-05-12,266102,65,13,1596,6906,0,,,266064,6890,272574,6998
Africa,Algeria,None,2022-05-13,266102,61,13,1596,6906,0,,,266064,6890,272642,6999
Africa,Algeria,None,2022-05-14,266102,57,12,1596,6906,0,,,266064,6890,272710,7000
Africa,Algeria,None,2022-05-15,266102,54,12,1596,6906,0,,,266064,6890,272777,7001
Africa,Angola,None,2022-03-26,99536,414,35,1019,1913,3,,,99536,1913,99536,1913
Africa,Angola,None,2022-03-27,99616,464,35,1022,1913,3,,,99536,1913,100479,1920
Africa,Angola,None,2022-03-28,99726,540,37,1025,1914,4,,,99536,1913,100947,1924
Africa,Angola,None,2022-03-29,99883,656,40,1030,1914,5,,,99536,1913,101378,1926
Africa,Angola,None,2022-03-30,100107,830,45,1036,1915,6,,,99536,1913,101833,1928
Africa,Angola,None,2022-03-31,100430,1088,52,1046,1915,8,,,99536,1913,102360,1930
Africa,Angola,None,2022-04-01,100905,1476,64,1060,1916,11,,,99536,1913,103019,1933
Africa,Angola,None,2022-04-02,101609,2060,81,1082,1918,15,,,99536,1913,103893,1936
Africa,Angola,None,2022-04-03,102656,2936,108,1113,1920,22,,,100215,1913,105097,1939
Africa,Angola,None,2022-04-04,104230,4265,150,1160,1923,32,,,101640,1913,106820,1943
Africa,Angola,None,2022-04-05,106623,6299,213,1232,1928,47,,,103893,1913,109353,1949
Africa,Angola,None,2022-04-06,110260,9400,310,1341,1934,70,,,107397,1913,113123,1956
Africa,Angola,None,2022-04-07,115787,14127,458,1507,1945,106,,,112797,1922,118777,1968
Africa,Angola,None,2022-04-08,124193,21328,684,1759,1961,160,,,121081,1937,127305,1985
Africa,Angola,None,2022-04-09,137029,32332,1030,2144,1985,242,,,133799,1960,140259,2010
Africa,Angola,None,2022-04-10,156502,49033,1554,2728,2022,367,,,153159,1996,159845,2048
Africa,Angola,None,2022-04-11,185655,73993,2339,3603,2078,554,,,182202,2051,189108,2105
Africa,Angola,None,2022-04-12,228726,110750,3496,4895,2162,829,,,225167,2134,232285,2190
Africa,Angola,None,2022-04-13,291581,164224,5181,6781,2287,1230,,,287919,2258,295243,2316
Africa,Angola,None,2022-04-14,380182,239023,7544,9439,2470,1790,,,376419,2441,383945,2499
Africa,Angola,None,2022-04-15,501205,340169,10749,13069,2733,2547,,,497345,2703,505065,2763
Africa,Angola,None,2022-04-16,661184,472291,14951,17869,3098,3536,,,657228,3067,665140,3129
Africa,Angola,None,2022-04-17,861571,634565,20145,23880,3593,4751,,,857522,3561,865620,3625
Africa,Angola,None,2022-04-18,1101934,824636,26272,31091,4237,6173,,,1097794,4205,1106074,4269
Africa,Angola,None,2022-04-19,1377082,1035661,33139,39346,5045,7751,,,1372853,5012,1381311,5078
Africa,Angola,None,2022-04-20,1676617,1255973,40404,48332,6026,9399,,,1672301,5992,1680933,6060
Africa,Angola,None,2022-04-21,1992157,1477087,47807,57798,7169,11051,,,1987756,7135,1996558,7203
Africa,Angola,None,2022-04-22,2312447,1688014,55010,67407,8459,12626,,,2307962,8424,2316932,8494
Africa,Angola,None,2022-04-23,2628283,1880519,61754,76882,9875,14063,,,2623715,9839,2632851,9911
Africa,Angola,None,2022-04-24,2933294,2049727,67873,86032,11387,15324,,,2928646,11351,2937942,11423
