"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",4955,2991,566,738,97,127
"2020-04-03",5581,3293,629,832,113,141
"2020-04-04",6238,3594,694,931,131,154
"2020-04-05",6920,3890,759,1033,149,168
"2020-04-06",7623,4178,824,1139,170,181
"2020-04-07",8344,4455,888,1247,192,194
"2020-04-08",9077,4717,951,1357,215,207
"2020-04-09",9819,4963,1012,1468,240,219
"2020-04-10",10565,5189,1070,1580,265,230
"2020-04-11",11311,5394,1126,1692,292,241
"2020-04-12",12053,5577,1178,1803,320,250
"2020-04-13",12789,5736,1227,1913,349,259
"2020-04-14",13515,5872,1272,2022,378,267
"2020-04-15",14229,5983,1312,2129,408,273
"2020-04-16",14927,6071,1349,2234,439,279
"2020-04-17",15608,6134,1381,2336,470,283
"2020-04-18",16270,6175,1409,2436,501,287
"2020-04-19",16912,6193,1432,2532,532,290
"2020-04-20",17532,6190,1451,2625,563,291
"2020-04-21",18129,6167,1466,2714,595,292
"2020-04-22",18703,6126,1477,2801,626,292
"2020-04-23",19253,6066,1483,2883,657,291
"2020-04-24",19779,5991,1486,2962,687,289
"2020-04-25",20281,5901,1485,3037,718,286
"2020-04-26",20758,5798,1481,3109,747,283
"2020-04-27",21212,5683,1473,3177,776,279
"2020-04-28",21642,5558,1462,3241,805,275
"2020-04-29",22049,5424,1449,3302,833,270
"2020-04-30",22433,5282,1432,3360,860,264
"2020-05-01",22795,5134,1414,3414,886,258
"2020-05-02",23136,4981,1393,3465,912,252
"2020-05-03",23456,4824,1370,3513,937,246
"2020-05-04",23757,4664,1346,3559,961,239
"2020-05-05",24039,4501,1319,3601,984,232
"2020-05-06",24302,4338,1292,3640,1006,225
"2020-05-07",24548,4175,1263,3677,1028,218
"2020-05-08",24778,4012,1234,3712,1049,210
"2020-05-09",24992,3850,1204,3744,1068,203
"2020-05-10",25192,3690,1172,3774,1088,196
"2020-05-11",25377,3533,1141,3802,1106,188
"2020-05-12",25549,3378,1109,3827,1123,181
"2020-05-13",25709,3227,1077,3851,1140,174
"2020-05-14",25857,3079,1045,3874,1156,167
"2020-05-15",25994,2934,1013,3894,1171,160
"2020-05-16",26120,2794,981,3913,1186,153
"2020-05-17",26237,2658,949,3931,1200,146
"2020-05-18",26345,2527,917,3947,1213,140
"2020-05-19",26445,2400,886,3962,1225,133
"2020-05-20",26537,2278,855,3976,1237,127
"2020-05-21",26622,2160,825,3988,1248,121
"2020-05-22",26699,2047,795,4000,1259,115
"2020-05-23",26771,1938,765,4011,1269,109
"2020-05-24",26837,1834,737,4021,1279,104
"2020-05-25",26897,1735,709,4030,1288,99
"2020-05-26",26952,1640,681,4038,1296,94
"2020-05-27",27003,1549,655,4045,1304,89
"2020-05-28",27049,1463,629,4052,1312,84
"2020-05-29",27092,1381,604,4059,1319,80
"2020-05-30",27131,1303,579,4065,1326,75
"2020-05-31",27166,1229,555,4070,1332,71
"2020-06-01",27199,1158,532,4075,1338,67
"2020-06-02",27228,1091,510,4079,1344,63
"2020-06-03",27255,1028,489,4083,1349,60
"2020-06-04",27280,968,468,4087,1354,56
"2020-06-05",27302,912,448,4090,1359,53
"2020-06-06",27323,858,428,4093,1364,50
"2020-06-07",27342,807,410,4096,1368,47
"2020-06-08",27359,759,392,4099,1372,44
"2020-06-09",27374,714,374,4101,1376,42
"2020-06-10",27388,672,358,4103,1379,39
"2020-06-11",27401,632,342,4105,1382,37
"2020-06-12",27412,594,326,4107,1386,35
"2020-06-13",27423,559,311,4108,1388,33
"2020-06-14",27432,525,297,4110,1391,31
"2020-06-15",27441,494,284,4111,1394,29
"2020-06-16",27449,464,271,4112,1396,27
"2020-06-17",27456,436,258,4113,1398,25
"2020-06-18",27462,410,246,4114,1401,24
"2020-06-19",27468,385,235,4115,1403,22
"2020-06-20",27474,362,224,4116,1405,21
"2020-06-21",27478,340,213,4117,1406,20
"2020-06-22",27483,320,203,4117,1408,18
"2020-06-23",27487,301,194,4118,1410,17
