"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",690,466,84,103,14,19
"2020-04-03",789,514,94,118,17,22
"2020-04-04",890,559,104,134,20,24
"2020-04-05",992,601,114,149,24,26
"2020-04-06",1093,638,123,164,28,27
"2020-04-07",1193,670,131,179,32,29
"2020-04-08",1291,698,139,194,37,30
"2020-04-09",1388,721,146,208,41,32
"2020-04-10",1482,740,152,222,46,33
"2020-04-11",1573,754,157,236,51,34
"2020-04-12",1660,764,162,249,56,34
"2020-04-13",1744,770,166,262,61,35
"2020-04-14",1825,772,169,274,66,35
"2020-04-15",1902,771,172,285,71,35
"2020-04-16",1975,766,174,296,76,35
"2020-04-17",2044,758,175,307,80,35
"2020-04-18",2110,747,176,316,85,35
"2020-04-19",2171,735,176,326,90,35
"2020-04-20",2229,719,175,334,95,34
"2020-04-21",2284,703,174,343,99,34
"2020-04-22",2334,684,173,350,104,33
"2020-04-23",2382,665,171,357,108,33
"2020-04-24",2426,644,168,364,112,32
"2020-04-25",2467,623,166,370,116,31
"2020-04-26",2506,601,163,376,120,30
"2020-04-27",2541,578,160,381,124,29
"2020-04-28",2574,555,156,386,128,28
"2020-04-29",2605,533,153,391,131,27
"2020-04-30",2633,510,149,395,135,26
"2020-05-01",2658,487,145,399,138,25
"2020-05-02",2682,465,141,402,141,24
"2020-05-03",2704,443,137,406,144,23
"2020-05-04",2724,422,133,409,147,22
"2020-05-05",2743,401,129,411,149,21
"2020-05-06",2760,381,125,414,152,20
"2020-05-07",2775,361,121,416,154,19
"2020-05-08",2789,342,116,418,156,19
"2020-05-09",2802,324,112,420,159,18
"2020-05-10",2814,306,108,422,161,17
"2020-05-11",2825,289,104,424,163,16
"2020-05-12",2834,273,100,425,164,15
"2020-05-13",2843,258,97,427,166,14
"2020-05-14",2852,243,93,428,168,14
"2020-05-15",2859,229,89,429,169,13
"2020-05-16",2866,215,86,430,171,12
"2020-05-17",2872,202,82,431,172,12
"2020-05-18",2877,190,79,432,173,11
"2020-05-19",2882,179,75,432,174,10
"2020-05-20",2887,168,72,433,175,10
"2020-05-21",2891,158,69,434,177,9
"2020-05-22",2895,148,66,434,178,9
"2020-05-23",2898,139,63,435,178,8
"2020-05-24",2901,130,60,435,179,8
"2020-05-25",2904,122,58,436,180,7
"2020-05-26",2906,114,55,436,181,7
"2020-05-27",2908,107,53,436,182,6
"2020-05-28",2910,101,50,437,182,6
"2020-05-29",2912,94,48,437,183,6
"2020-05-30",2914,88,46,437,183,5
"2020-05-31",2915,83,44,437,184,5
"2020-06-01",2917,77,41,438,185,5
"2020-06-02",2918,72,40,438,185,4
"2020-06-03",2919,68,38,438,185,4
"2020-06-04",2920,64,36,438,186,4
"2020-06-05",2921,60,34,438,186,4
"2020-06-06",2922,56,33,438,187,3
"2020-06-07",2922,52,31,438,187,3
"2020-06-08",2923,49,29,438,187,3
"2020-06-09",2923,46,28,439,188,3
"2020-06-10",2924,43,27,439,188,3
"2020-06-11",2924,40,25,439,188,2
"2020-06-12",2925,38,24,439,188,2
"2020-06-13",2925,35,23,439,189,2
"2020-06-14",2926,33,22,439,189,2
"2020-06-15",2926,31,21,439,189,2
"2020-06-16",2926,29,20,439,189,2
"2020-06-17",2926,27,19,439,189,2
"2020-06-18",2926,26,18,439,190,1
"2020-06-19",2927,24,17,439,190,1
"2020-06-20",2927,23,16,439,190,1
"2020-06-21",2927,21,15,439,190,1
"2020-06-22",2927,20,15,439,190,1
"2020-06-23",2927,19,14,439,190,1
"2020-06-24",2927,17,13,439,190,1
"2020-06-25",2927,16,12,439,191,1
"2020-06-26",2928,15,12,439,191,1
"2020-06-27",2928,14,11,439,191,1
"2020-06-28",2928,14,11,439,191,1
"2020-06-29",2928,13,10,439,191,1
"2020-06-30",2928,12,10,439,191,1
"2020-07-01",2928,11,9,439,191,1
"2020-07-02",2928,11,9,439,191,1
