"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",434,269,51,65,7,11
"2020-04-03",478,285,55,72,8,12
"2020-04-04",522,299,59,78,9,13
"2020-04-05",566,311,62,85,11,14
"2020-04-06",608,320,65,91,12,14
"2020-04-07",648,328,68,97,13,15
"2020-04-08",688,334,70,103,15,15
"2020-04-09",726,337,72,109,16,15
"2020-04-10",762,339,74,114,18,16
"2020-04-11",796,340,76,119,19,16
"2020-04-12",829,338,77,124,20,16
"2020-04-13",861,336,77,129,22,16
"2020-04-14",890,332,78,134,23,16
"2020-04-15",918,327,78,138,25,16
"2020-04-16",945,321,78,142,26,15
"2020-04-17",969,314,78,145,27,15
"2020-04-18",993,307,78,149,29,15
"2020-04-19",1015,298,77,152,30,15
"2020-04-20",1035,290,76,155,31,14
"2020-04-21",1054,281,75,158,33,14
"2020-04-22",1072,271,74,161,34,14
"2020-04-23",1088,262,73,163,35,13
"2020-04-24",1103,252,71,165,36,13
"2020-04-25",1117,242,70,168,37,13
"2020-04-26",1131,233,69,170,38,12
"2020-04-27",1143,223,67,171,39,12
"2020-04-28",1154,213,65,173,40,11
"2020-04-29",1164,204,64,175,41,11
"2020-04-30",1174,194,62,176,42,10
"2020-05-01",1183,185,60,177,42,10
"2020-05-02",1191,176,58,179,43,10
"2020-05-03",1198,167,56,180,44,9
"2020-05-04",1205,159,55,181,45,9
"2020-05-05",1211,151,53,182,45,8
"2020-05-06",1217,143,51,182,46,8
"2020-05-07",1222,135,49,183,47,8
"2020-05-08",1227,128,48,184,47,7
"2020-05-09",1231,121,46,185,48,7
"2020-05-10",1235,114,44,185,48,7
"2020-05-11",1238,108,43,186,49,6
"2020-05-12",1242,102,41,186,49,6
"2020-05-13",1245,96,39,187,49,6
"2020-05-14",1247,90,38,187,50,5
"2020-05-15",1250,85,36,187,50,5
"2020-05-16",1252,80,35,188,51,5
"2020-05-17",1254,75,33,188,51,4
"2020-05-18",1256,71,32,188,51,4
"2020-05-19",1258,67,31,189,52,4
"2020-05-20",1259,63,29,189,52,4
"2020-05-21",1261,59,28,189,52,4
"2020-05-22",1262,55,27,189,52,3
"2020-05-23",1263,52,26,189,53,3
"2020-05-24",1264,49,25,190,53,3
"2020-05-25",1265,46,24,190,53,3
"2020-05-26",1266,43,23,190,53,3
"2020-05-27",1267,40,22,190,53,2
"2020-05-28",1267,38,21,190,54,2
"2020-05-29",1268,36,20,190,54,2
"2020-05-30",1268,33,19,190,54,2
"2020-05-31",1269,31,18,190,54,2
"2020-06-01",1269,29,17,190,54,2
"2020-06-02",1270,28,16,190,54,2
"2020-06-03",1270,26,16,191,54,2
"2020-06-04",1270,24,15,191,54,1
"2020-06-05",1271,23,14,191,55,1
"2020-06-06",1271,22,14,191,55,1
"2020-06-07",1271,20,13,191,55,1
"2020-06-08",1271,19,12,191,55,1
"2020-06-09",1272,18,12,191,55,1
"2020-06-10",1272,17,11,191,55,1
"2020-06-11",1272,16,11,191,55,1
"2020-06-12",1272,15,10,191,55,1
"2020-06-13",1272,14,10,191,55,1
"2020-06-14",1272,13,9,191,55,1
"2020-06-15",1272,12,9,191,55,1
"2020-06-16",1273,12,8,191,55,1
"2020-06-17",1273,11,8,191,55,1
"2020-06-18",1273,10,8,191,55,1
"2020-06-19",1273,10,7,191,55,1
"2020-06-20",1273,9,7,191,55,0
"2020-06-21",1273,9,7,191,56,0
"2020-06-22",1273,8,6,191,56,0
"2020-06-23",1273,8,6,191,56,0
"2020-06-24",1273,7,6,191,56,0
"2020-06-25",1273,7,5,191,56,0
"2020-06-26",1273,6,5,191,56,0
"2020-06-27",1273,6,5,191,56,0
"2020-06-28",1273,6,5,191,56,0
"2020-06-29",1273,5,4,191,56,0
"2020-06-30",1273,5,4,191,56,0
"2020-07-01",1273,5,4,191,56,0
