"State","Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"Alabama","2020-04-15",4206,1832,395,631,124,83
"Alabama","2020-04-16",4444,1881,410,667,134,86
"Alabama","2020-04-17",4682,1926,424,702,144,88
"Alabama","2020-04-18",4918,1965,437,738,155,90
"Alabama","2020-04-19",5152,1998,450,773,166,92
"Alabama","2020-04-20",5383,2025,461,807,176,94
"Alabama","2020-04-21",5610,2048,471,842,187,95
"Alabama","2020-04-22",5834,2064,480,875,198,97
"Alabama","2020-04-23",6053,2075,488,908,210,97
"Alabama","2020-04-24",6268,2081,495,940,221,98
"Alabama","2020-04-25",6477,2081,500,972,232,99
"Alabama","2020-04-26",6681,2077,505,1002,243,99
"Alabama","2020-04-27",6879,2068,508,1032,254,99
"Alabama","2020-04-28",7071,2055,511,1061,265,99
"Alabama","2020-04-29",7257,2037,512,1089,276,98
"Alabama","2020-04-30",7436,2015,513,1115,287,98
"Alabama","2020-05-01",7610,1990,512,1141,298,97
"Alabama","2020-05-02",7777,1961,511,1166,309,96
"Alabama","2020-05-03",7937,1930,509,1191,319,95
"Alabama","2020-05-04",8091,1895,506,1214,329,94
"Alabama","2020-05-05",8239,1858,502,1236,340,92
"Alabama","2020-05-06",8380,1819,497,1257,349,91
"Alabama","2020-05-07",8515,1778,492,1277,359,89
"Alabama","2020-05-08",8644,1735,486,1297,369,87
"Alabama","2020-05-09",8766,1691,480,1315,378,85
"Alabama","2020-05-10",8883,1645,473,1332,387,84
"Alabama","2020-05-11",8994,1599,465,1349,396,82
"Alabama","2020-05-12",9100,1552,457,1365,404,79
"Alabama","2020-05-13",9199,1504,449,1380,412,77
"Alabama","2020-05-14",9294,1456,440,1394,420,75
"Alabama","2020-05-15",9383,1408,431,1408,428,73
"Alabama","2020-05-16",9468,1360,422,1420,435,71
"Alabama","2020-05-17",9548,1312,412,1432,443,69
"Alabama","2020-05-18",9623,1264,402,1443,449,66
"Alabama","2020-05-19",9694,1217,392,1454,456,64
"Alabama","2020-05-20",9761,1171,382,1464,463,62
"Alabama","2020-05-21",9823,1125,372,1473,469,60
"Alabama","2020-05-22",9882,1080,362,1482,475,58
"Alabama","2020-05-23",9937,1036,352,1491,480,55
"Alabama","2020-05-24",9989,993,342,1498,486,53
"Alabama","2020-05-25",10038,950,332,1506,491,51
"Alabama","2020-05-26",10083,909,322,1512,496,49
"Alabama","2020-05-27",10125,869,312,1519,501,47
"Alabama","2020-05-28",10165,830,302,1525,505,45
"Alabama","2020-05-29",10202,793,292,1530,510,43
"Alabama","2020-05-30",10237,756,283,1535,514,41
"Alabama","2020-05-31",10269,721,273,1540,518,40
"Alabama","2020-06-01",10299,687,264,1545,522,38
"Alabama","2020-06-02",10327,654,255,1549,525,36
"Alabama","2020-06-03",10353,622,246,1553,529,34
"Alabama","2020-06-04",10377,591,237,1557,532,33
"Alabama","2020-06-05",10399,562,228,1560,535,31
"Alabama","2020-06-06",10420,534,220,1563,538,30
"Alabama","2020-06-07",10439,507,211,1566,541,28
"Alabama","2020-06-08",10457,481,203,1569,544,27
"Alabama","2020-06-09",10474,456,196,1571,546,26
"Alabama","2020-06-10",10489,432,188,1573,548,24
"Alabama","2020-06-11",10503,410,181,1575,551,23
"Alabama","2020-06-12",10516,388,173,1577,553,22
"Alabama","2020-06-13",10528,367,166,1579,555,21
"Alabama","2020-06-14",10540,348,160,1581,557,20
"Alaska","2020-04-15",296,104,25,43,7,5
"Alaska","2020-04-16",305,103,25,44,8,5
"Alaska","2020-04-17",314,102,25,45,8,5
"Alaska","2020-04-18",322,100,25,47,8,5
"Alaska","2020-04-19",330,98,25,48,9,5
"Alaska","2020-04-20",337,96,25,49,9,5
"Alaska","2020-04-21",344,94,25,50,9,5
"Alaska","2020-04-22",351,91,25,51,10,5
"Alaska","2020-04-23",357,89,24,52,10,5
"Alaska","2020-04-24",363,86,24,53,10,4
"Alaska","2020-04-25",369,84,24,54,11,4
"Alaska","2020-04-26",374,81,23,54,11,4
"Alaska","2020-04-27",379,78,23,55,11,4
"Alaska","2020-04-28",384,75,22,56,12,4
"Alaska","2020-04-29",388,72,22,57,12,4
"Alaska","2020-04-30",392,70,21,57,12,4
"Alaska","2020-05-01",395,67,21,58,12,4
"Alaska","2020-05-02",399,64,20,58,13,3
"Alaska","2020-05-03",402,61,20,59,13,3
"Alaska","2020-05-04",405,58,19,59,13,3
"Alaska","2020-05-05",407,56,19,59,13,3
"Alaska","2020-05-06",410,53,18,60,13,3
"Alaska","2020-05-07",412,51,18,60,14,3
"Alaska","2020-05-08",414,48,17,61,14,3
"Alaska","2020-05-09",416,46,17,61,14,3
"Alaska","2020-05-10",418,44,16,61,14,2
"Alaska","2020-05-11",420,41,15,61,14,2
"Alaska","2020-05-12",421,39,15,62,14,2
"Alaska","2020-05-13",423,37,14,62,14,2
"Alaska","2020-05-14",424,35,14,62,15,2
"Alaska","2020-05-15",425,33,13,62,15,2
"Alaska","2020-05-16",426,31,13,62,15,2
"Alaska","2020-05-17",427,30,12,62,15,2
"Alaska","2020-05-18",428,28,12,63,15,2
"Alaska","2020-05-19",429,27,12,63,15,2
"Alaska","2020-05-20",430,25,11,63,15,1
"Alaska","2020-05-21",430,24,11,63,15,1
"Alaska","2020-05-22",431,22,10,63,15,1
"Alaska","2020-05-23",431,21,10,63,16,1
"Alaska","2020-05-24",432,20,9,63,16,1
"Alaska","2020-05-25",432,19,9,63,16,1
"Alaska","2020-05-26",433,18,9,63,16,1
"Alaska","2020-05-27",433,17,8,63,16,1
"Alaska","2020-05-28",434,16,8,63,16,1
"Alaska","2020-05-29",434,15,8,63,16,1
"Alaska","2020-05-30",434,14,7,63,16,1
"Alaska","2020-05-31",434,13,7,64,16,1
"Alaska","2020-06-01",435,12,7,64,16,1
"Alaska","2020-06-02",435,11,6,64,16,1
"Alaska","2020-06-03",435,11,6,64,16,1
"Alaska","2020-06-04",435,10,6,64,16,1
"Alaska","2020-06-05",435,10,6,64,16,1
"Alaska","2020-06-06",436,9,5,64,16,1
"Alaska","2020-06-07",436,8,5,64,16,1
"Alaska","2020-06-08",436,8,5,64,16,0
"Alaska","2020-06-09",436,7,5,64,16,0
"Alaska","2020-06-10",436,7,4,64,16,0
"Alaska","2020-06-11",436,7,4,64,16,0
"Alaska","2020-06-12",436,6,4,64,16,0
"Alaska","2020-06-13",436,6,4,64,16,0
"Alaska","2020-06-14",436,5,4,64,16,0
"Arizona","2020-04-15",4006,1545,350,599,143,72
"Arizona","2020-04-16",4157,1540,355,622,152,72
"Arizona","2020-04-17",4301,1529,358,643,162,72
"Arizona","2020-04-18",4438,1513,359,664,171,72
"Arizona","2020-04-19",4568,1492,360,683,180,71
"Arizona","2020-04-20",4691,1467,360,702,188,70
"Arizona","2020-04-21",4807,1438,359,719,197,69
"Arizona","2020-04-22",4917,1406,356,736,206,68
