"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",572,350,65,81,11,15
"2020-04-03",632,372,71,90,12,16
"2020-04-04",689,391,75,98,14,17
"2020-04-05",745,405,80,107,15,18
"2020-04-06",797,415,84,115,17,18
"2020-04-07",847,423,87,122,19,19
"2020-04-08",895,427,89,129,21,19
"2020-04-09",940,428,92,136,22,19
"2020-04-10",982,427,93,142,24,20
"2020-04-11",1022,424,95,148,26,20
"2020-04-12",1059,418,95,154,28,20
"2020-04-13",1093,411,96,159,30,19
"2020-04-14",1126,403,96,164,31,19
"2020-04-15",1156,393,95,168,33,19
"2020-04-16",1184,382,95,173,35,19
"2020-04-17",1210,371,94,176,36,18
"2020-04-18",1234,359,93,180,38,18
"2020-04-19",1256,346,91,183,39,17
"2020-04-20",1276,333,90,186,41,17
"2020-04-21",1295,320,88,189,42,16
"2020-04-22",1312,307,86,192,43,16
"2020-04-23",1328,294,85,194,45,15
"2020-04-24",1342,280,83,196,46,15
"2020-04-25",1356,267,80,198,47,14
"2020-04-26",1368,255,78,200,48,14
"2020-04-27",1379,242,76,202,49,13
"2020-04-28",1389,230,74,203,50,12
"2020-04-29",1399,218,71,205,51,12
"2020-04-30",1407,206,69,206,52,11
"2020-05-01",1415,195,67,207,53,11
"2020-05-02",1422,185,65,208,53,10
"2020-05-03",1428,174,62,209,54,10
"2020-05-04",1434,165,60,210,55,9
"2020-05-05",1439,155,58,211,56,9
"2020-05-06",1444,146,56,212,56,8
"2020-05-07",1448,138,54,212,57,8
"2020-05-08",1452,130,52,213,57,8
"2020-05-09",1456,122,50,213,58,7
"2020-05-10",1459,115,48,214,58,7
"2020-05-11",1462,108,46,214,59,6
"2020-05-12",1464,101,44,215,59,6
"2020-05-13",1467,95,42,215,60,6
"2020-05-14",1469,89,40,215,60,5
"2020-05-15",1471,84,39,216,60,5
"2020-05-16",1472,78,37,216,61,5
"2020-05-17",1474,74,35,216,61,4
"2020-05-18",1475,69,34,216,61,4
"2020-05-19",1477,65,32,217,62,4
"2020-05-20",1478,61,31,217,62,4
"2020-05-21",1479,57,30,217,62,3
"2020-05-22",1480,53,28,217,62,3
"2020-05-23",1480,50,27,217,63,3
"2020-05-24",1481,47,26,217,63,3
"2020-05-25",1482,44,25,217,63,3
"2020-05-26",1482,41,23,217,63,3
"2020-05-27",1483,39,22,217,63,2
"2020-05-28",1483,36,21,218,64,2
"2020-05-29",1484,34,20,218,64,2
"2020-05-30",1484,32,19,218,64,2
"2020-05-31",1484,30,19,218,64,2
"2020-06-01",1485,28,18,218,64,2
"2020-06-02",1485,26,17,218,64,2
"2020-06-03",1485,25,16,218,64,1
"2020-06-04",1486,23,15,218,64,1
"2020-06-05",1486,22,15,218,65,1
"2020-06-06",1486,20,14,218,65,1
"2020-06-07",1486,19,13,218,65,1
"2020-06-08",1486,18,13,218,65,1
"2020-06-09",1486,17,12,218,65,1
"2020-06-10",1486,16,11,218,65,1
"2020-06-11",1487,15,11,218,65,1
"2020-06-12",1487,14,10,218,65,1
"2020-06-13",1487,13,10,218,65,1
"2020-06-14",1487,12,9,218,65,1
"2020-06-15",1487,12,9,218,65,1
"2020-06-16",1487,11,8,218,65,1
"2020-06-17",1487,10,8,218,65,1
"2020-06-18",1487,10,8,218,65,1
"2020-06-19",1487,9,7,218,65,0
"2020-06-20",1487,9,7,218,65,0
"2020-06-21",1487,8,7,218,65,0
"2020-06-22",1487,8,6,218,65,0
"2020-06-23",1487,7,6,218,66,0
"2020-06-24",1487,7,6,218,66,0
"2020-06-25",1487,6,5,218,66,0
"2020-06-26",1487,6,5,218,66,0
"2020-06-27",1487,6,5,218,66,0
"2020-06-28",1487,5,5,218,66,0
"2020-06-29",1487,5,4,218,66,0
"2020-06-30",1487,5,4,218,66,0
"2020-07-01",1487,5,4,218,66,0
