"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",567,370,68,85,9
"2020-04-02",645,407,76,97,10
"2020-04-03",725,444,84,109,12
"2020-04-04",807,478,92,121,14
"2020-04-05",891,511,100,134,17
"2020-04-06",975,541,107,146,19
"2020-04-07",1059,568,114,159,22
"2020-04-08",1143,592,121,171,24
"2020-04-09",1226,614,127,184,27
"2020-04-10",1308,632,133,196,30
"2020-04-11",1388,647,138,208,33
"2020-04-12",1467,660,142,220,36
"2020-04-13",1543,669,147,232,39
"2020-04-14",1618,675,150,243,42
"2020-04-15",1690,678,153,253,45
"2020-04-16",1759,679,156,264,48
"2020-04-17",1825,677,158,274,51
"2020-04-18",1889,673,159,283,54
"2020-04-19",1950,667,160,292,57
"2020-04-20",2008,659,161,301,60
"2020-04-21",2063,649,161,309,63
"2020-04-22",2115,637,161,317,66
"2020-04-23",2165,624,160,325,69
"2020-04-24",2211,610,159,332,72
"2020-04-25",2256,595,157,338,75
"2020-04-26",2297,579,156,345,77
"2020-04-27",2336,562,154,350,80
"2020-04-28",2372,544,151,356,82
"2020-04-29",2407,526,149,361,85
"2020-04-30",2439,508,146,366,87
"2020-05-01",2468,490,143,370,90
"2020-05-02",2496,471,140,374,92
"2020-05-03",2522,453,137,378,94
"2020-05-04",2546,434,134,382,96
"2020-05-05",2569,416,131,385,98
"2020-05-06",2589,398,127,388,100
"2020-05-07",2608,380,124,391,101
"2020-05-08",2626,363,120,394,103
"2020-05-09",2643,346,117,396,105
"2020-05-10",2658,330,113,399,106
"2020-05-11",2672,314,109,401,108
"2020-05-12",2684,298,106,403,109
"2020-05-13",2696,283,102,404,110
"2020-05-14",2707,269,99,406,112
"2020-05-15",2717,255,95,408,113
"2020-05-16",2726,241,92,409,114
"2020-05-17",2735,228,89,410,115
"2020-05-18",2742,216,85,411,116
"2020-05-19",2749,204,82,412,117
"2020-05-20",2756,193,79,413,118
"2020-05-21",2762,182,76,414,119
"2020-05-22",2767,172,73,415,120
"2020-05-23",2772,162,70,416,120
"2020-05-24",2777,153,67,417,121
"2020-05-25",2781,144,65,417,122
"2020-05-26",2785,136,62,418,122
"2020-05-27",2788,128,59,418,123
"2020-05-28",2791,121,57,419,124
"2020-05-29",2794,113,55,419,124
"2020-05-30",2796,107,52,419,125
"2020-05-31",2799,100,50,420,125
"2020-06-01",2801,94,48,420,126
"2020-06-02",2803,89,46,420,126
"2020-06-03",2805,84,44,421,126
"2020-06-04",2806,79,42,421,127
"2020-06-05",2808,74,40,421,127
"2020-06-06",2809,69,38,421,127
"2020-06-07",2810,65,36,422,128
"2020-06-08",2811,61,35,422,128
"2020-06-09",2812,58,33,422,128
"2020-06-10",2813,54,32,422,129
"2020-06-11",2814,51,30,422,129
"2020-06-12",2814,48,29,422,129
"2020-06-13",2815,45,28,422,129
"2020-06-14",2816,42,26,422,129
"2020-06-15",2816,40,25,422,130
"2020-06-16",2817,37,24,422,130
"2020-06-17",2817,35,23,423,130
"2020-06-18",2817,33,22,423,130
"2020-06-19",2818,31,21,423,130
"2020-06-20",2818,29,20,423,130
"2020-06-21",2818,27,19,423,130
"2020-06-22",2819,26,18,423,131
"2020-06-23",2819,24,17,423,131
"2020-06-24",2819,23,16,423,131
"2020-06-25",2819,21,15,423,131
"2020-06-26",2819,20,15,423,131
"2020-06-27",2820,19,14,423,131
"2020-06-28",2820,18,13,423,131
"2020-06-29",2820,17,13,423,131
"2020-06-30",2820,16,12,423,131
