"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",85114,49994,9649,12739,1441
"2020-04-02",94061,53609,10484,14081,1660
"2020-04-03",103105,56972,11291,15438,1893
"2020-04-04",112181,60046,12063,16799,2141
"2020-04-05",121227,62802,12793,18156,2401
"2020-04-06",130188,65220,13475,19500,2671
"2020-04-07",139016,67288,14103,20824,2951
"2020-04-08",147666,69000,14675,22122,3239
"2020-04-09",156103,70356,15187,23387,3534
"2020-04-10",164295,71362,15638,24616,3833
"2020-04-11",172217,72029,16028,25805,4137
"2020-04-12",179849,72371,16356,26949,4442
"2020-04-13",187175,72406,16623,28048,4748
"2020-04-14",194185,72152,16830,29100,5053
"2020-04-15",200871,71631,16980,30103,5357
"2020-04-16",207230,70865,17075,31056,5658
"2020-04-17",213262,69879,17117,31961,5956
"2020-04-18",218969,68694,17110,32817,6249
"2020-04-19",224355,67333,17056,33625,6536
"2020-04-20",229428,65820,16959,34386,6818
"2020-04-21",234194,64177,16822,35101,7092
"2020-04-22",238665,62423,16648,35772,7360
"2020-04-23",242849,60578,16441,36399,7620
"2020-04-24",246758,58662,16204,36986,7872
"2020-04-25",250405,56691,15941,37533,8115
"2020-04-26",253800,54682,15653,38042,8351
"2020-04-27",256957,52648,15345,38515,8578
"2020-04-28",259887,50602,15019,38955,8796
"2020-04-29",262604,48558,14677,39363,9005
"2020-04-30",265119,46525,14323,39740,9206
"2020-05-01",267444,44512,13959,40089,9399
"2020-05-02",269592,42529,13586,40411,9582
"2020-05-03",271572,40581,13207,40708,9758
"2020-05-04",273396,38675,12825,40981,9925
"2020-05-05",275075,36816,12439,41233,10085
"2020-05-06",276618,35008,12053,41465,10237
"2020-05-07",278035,33255,11668,41677,10381
"2020-05-08",279336,31558,11284,41872,10518
"2020-05-09",280527,29921,10903,42051,10648
"2020-05-10",281618,28345,10526,42215,10771
"2020-05-11",282617,26830,10155,42364,10887
"2020-05-12",283529,25377,9789,42501,10998
"2020-05-13",284363,23985,9429,42626,11102
"2020-05-14",285124,22655,9077,42741,11200
"2020-05-15",285818,21385,8732,42845,11294
"2020-05-16",286450,20174,8395,42939,11381
"2020-05-17",287026,19022,8066,43026,11464
"2020-05-18",287550,17927,7746,43104,11542
"2020-05-19",288027,16887,7435,43176,11616
"2020-05-20",288460,15901,7132,43241,11685
"2020-05-21",288853,14967,6839,43300,11750
"2020-05-22",289210,14082,6555,43353,11812
"2020-05-23",289534,13245,6280,43402,11869
"2020-05-24",289828,12455,6014,43446,11924
"2020-05-25",290094,11709,5757,43486,11975
"2020-05-26",290335,11005,5509,43522,12023
"2020-05-27",290553,10341,5270,43555,12068
"2020-05-28",290750,9716,5040,43584,12110
"2020-05-29",290928,9127,4818,43611,12150
"2020-05-30",291090,8573,4604,43635,12187
"2020-05-31",291235,8051,4399,43657,12222
"2020-06-01",291367,7561,4202,43677,12255
"2020-06-02",291486,7100,4013,43695,12286
"2020-06-03",291593,6668,3831,43711,12315
"2020-06-04",291689,6261,3657,43725,12343
"2020-06-05",291776,5880,3490,43738,12368
"2020-06-06",291855,5522,3329,43750,12392
"2020-06-07",291925,5186,3176,43761,12415
"2020-06-08",291989,4871,3029,43770,12436
"2020-06-09",292046,4575,2888,43779,12456
"2020-06-10",292097,4298,2754,43787,12475
"2020-06-11",292144,4038,2625,43794,12493
"2020-06-12",292185,3794,2502,43800,12509
"2020-06-13",292223,3565,2385,43805,12525
"2020-06-14",292256,3351,2272,43810,12539
"2020-06-15",292286,3150,2165,43815,12553
