"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",8737,5327,1009,1299,119,227
"2020-04-03",9907,5917,1131,1474,138,253
"2020-04-04",11147,6518,1258,1661,160,281
"2020-04-05",12452,7122,1388,1856,183,308
"2020-04-06",13814,7722,1520,2061,209,336
"2020-04-07",15226,8313,1653,2272,237,363
"2020-04-08",16681,8887,1786,2491,267,390
"2020-04-09",18170,9439,1917,2714,299,417
"2020-04-10",19685,9964,2046,2941,332,442
"2020-04-11",21219,10456,2171,3171,368,467
"2020-04-12",22764,10914,2292,3403,405,490
"2020-04-13",24312,11332,2408,3635,443,512
"2020-04-14",25858,11708,2517,3867,483,532
"2020-04-15",27394,12041,2620,4097,524,550
"2020-04-16",28914,12329,2715,4326,567,566
"2020-04-17",30413,12571,2803,4550,610,581
"2020-04-18",31887,12768,2883,4771,654,593
"2020-04-19",33330,12919,2954,4988,698,604
"2020-04-20",34739,13026,3017,5199,743,612
"2020-04-21",36111,13089,3072,5405,789,619
"2020-04-22",37443,13111,3118,5605,834,624
"2020-04-23",38732,13093,3155,5798,880,626
"2020-04-24",39978,13038,3185,5985,925,628
"2020-04-25",41177,12947,3206,6165,970,627
"2020-04-26",42330,12822,3219,6338,1015,625
"2020-04-27",43436,12668,3225,6504,1059,621
"2020-04-28",44494,12485,3224,6663,1103,615
"2020-04-29",45505,12277,3215,6814,1146,609
"2020-04-30",46468,12047,3200,6959,1188,601
"2020-05-01",47385,11796,3179,7096,1229,592
"2020-05-02",48255,11527,3153,7227,1270,582
"2020-05-03",49081,11244,3121,7351,1309,571
"2020-05-04",49862,10947,3084,7468,1348,559
"2020-05-05",50600,10640,3042,7578,1385,546
"2020-05-06",51297,10325,2997,7683,1421,533
"2020-05-07",51953,10003,2947,7781,1457,519
"2020-05-08",52571,9676,2895,7874,1491,505
"2020-05-09",53151,9346,2840,7961,1524,491
"2020-05-10",53696,9015,2782,8043,1556,476
"2020-05-11",54206,8685,2721,8119,1586,461
"2020-05-12",54684,8355,2659,8191,1616,446
"2020-05-13",55131,8029,2596,8258,1644,431
"2020-05-14",55548,7706,2531,8321,1672,416
"2020-05-15",55937,7388,2465,8379,1698,401
"2020-05-16",56300,7075,2399,8433,1723,386
"2020-05-17",56638,6769,2332,8484,1747,371
"2020-05-18",56952,6470,2265,8531,1770,356
"2020-05-19",57243,6178,2198,8575,1792,342
"2020-05-20",57514,5894,2131,8616,1813,327
"2020-05-21",57765,5619,2065,8653,1833,314
"2020-05-22",57998,5351,1998,8688,1852,300
"2020-05-23",58213,5093,1933,8720,1870,287
"2020-05-24",58413,4844,1869,8750,1887,274
"2020-05-25",58597,4603,1805,8778,1903,261
"2020-05-26",58767,4372,1742,8803,1919,249
"2020-05-27",58924,4149,1681,8827,1934,237
"2020-05-28",59068,3935,1621,8849,1948,226
"2020-05-29",59202,3731,1562,8869,1961,215
"2020-05-30",59324,3535,1504,8887,1974,204
"2020-05-31",59437,3347,1447,8904,1986,194
"2020-06-01",59541,3168,1392,8920,1997,184
"2020-06-02",59636,2998,1339,8934,2007,175
"2020-06-03",59724,2835,1287,8947,2018,165
"2020-06-04",59804,2680,1236,8959,2027,157
"2020-06-05",59878,2532,1187,8970,2036,148
"2020-06-06",59946,2392,1139,8980,2045,140
"2020-06-07",60007,2259,1093,8990,2053,133
"2020-06-08",60064,2132,1049,8998,2060,126
"2020-06-09",60116,2012,1005,9006,2068,119
"2020-06-10",60163,1899,964,9013,2074,112
"2020-06-11",60206,1791,923,9019,2081,106
"2020-06-12",60246,1689,884,9025,2087,100
"2020-06-13",60282,1593,847,9031,2093,94
"2020-06-14",60315,1502,810,9036,2098,89
"2020-06-15",60345,1415,776,9040,2103,83
"2020-06-16",60373,1334,742,9044,2108,79
"2020-06-17",60398,1257,710,9048,2112,74
"2020-06-18",60420,1185,679,9051,2116,70
"2020-06-19",60441,1116,649,9055,2120,65
"2020-06-20",60460,1052,620,9057,2124,62
"2020-06-21",60477,991,593,9060,2128,58
"2020-06-22",60493,933,566,9062,2131,54
