"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",644,365,71,93,13,16
"2020-04-03",698,381,75,101,14,17
"2020-04-04",751,395,79,109,16,17
"2020-04-05",803,405,83,117,18,18
"2020-04-06",853,413,86,125,20,19
"2020-04-07",900,419,89,132,21,19
"2020-04-08",946,422,91,139,23,19
"2020-04-09",990,423,93,145,25,19
"2020-04-10",1032,422,95,151,27,20
"2020-04-11",1071,419,96,157,29,20
"2020-04-12",1109,415,97,163,31,20
"2020-04-13",1144,409,97,168,32,19
"2020-04-14",1178,402,97,173,34,19
"2020-04-15",1209,394,97,178,36,19
"2020-04-16",1239,384,96,183,38,19
"2020-04-17",1267,375,96,187,39,18
"2020-04-18",1292,364,95,191,41,18
"2020-04-19",1317,353,94,194,42,18
"2020-04-20",1339,341,92,198,44,17
"2020-04-21",1360,329,91,201,45,17
"2020-04-22",1380,317,89,204,47,16
"2020-04-23",1398,305,87,206,48,16
"2020-04-24",1414,293,86,209,50,15
"2020-04-25",1430,281,84,211,51,15
"2020-04-26",1444,269,82,213,52,14
"2020-04-27",1457,257,80,215,53,14
"2020-04-28",1470,245,77,217,54,13
"2020-04-29",1481,234,75,219,55,13
"2020-04-30",1491,222,73,220,56,12
"2020-05-01",1501,212,71,222,57,12
"2020-05-02",1509,201,69,223,58,11
"2020-05-03",1517,191,66,224,59,11
"2020-05-04",1524,181,64,225,60,10
"2020-05-05",1531,171,62,226,61,10
"2020-05-06",1537,162,60,227,61,9
"2020-05-07",1543,153,58,228,62,9
"2020-05-08",1548,145,56,229,63,8
"2020-05-09",1553,137,53,230,63,8
"2020-05-10",1557,129,51,230,64,7
"2020-05-11",1561,122,49,231,64,7
"2020-05-12",1564,115,48,231,65,7
"2020-05-13",1567,108,46,232,65,6
"2020-05-14",1570,102,44,232,66,6
"2020-05-15",1573,96,42,233,66,6
"2020-05-16",1575,90,40,233,67,5
"2020-05-17",1578,85,39,233,67,5
"2020-05-18",1579,80,37,234,67,5
"2020-05-19",1581,75,36,234,68,4
"2020-05-20",1583,70,34,234,68,4
"2020-05-21",1584,66,33,234,68,4
"2020-05-22",1586,62,31,235,69,4
"2020-05-23",1587,58,30,235,69,4
"2020-05-24",1588,55,28,235,69,3
"2020-05-25",1589,51,27,235,69,3
"2020-05-26",1590,48,26,235,70,3
"2020-05-27",1591,45,25,235,70,3
"2020-05-28",1591,43,24,235,70,3
"2020-05-29",1592,40,23,235,70,2
"2020-05-30",1593,37,22,236,70,2
"2020-05-31",1593,35,21,236,70,2
"2020-06-01",1594,33,20,236,71,2
"2020-06-02",1594,31,19,236,71,2
"2020-06-03",1594,29,18,236,71,2
"2020-06-04",1595,27,17,236,71,2
"2020-06-05",1595,26,16,236,71,2
"2020-06-06",1595,24,15,236,71,1
"2020-06-07",1596,23,15,236,71,1
"2020-06-08",1596,21,14,236,71,1
"2020-06-09",1596,20,13,236,72,1
"2020-06-10",1596,19,13,236,72,1
"2020-06-11",1596,18,12,236,72,1
"2020-06-12",1596,17,12,236,72,1
"2020-06-13",1597,16,11,236,72,1
"2020-06-14",1597,15,11,236,72,1
"2020-06-15",1597,14,10,236,72,1
"2020-06-16",1597,13,10,236,72,1
"2020-06-17",1597,12,9,236,72,1
"2020-06-18",1597,11,9,236,72,1
"2020-06-19",1597,11,8,236,72,1
"2020-06-20",1597,10,8,236,72,1
"2020-06-21",1597,10,7,236,72,1
"2020-06-22",1597,9,7,236,72,0
"2020-06-23",1597,9,7,236,72,0
"2020-06-24",1597,8,6,236,72,0
"2020-06-25",1597,8,6,236,72,0
"2020-06-26",1597,7,6,236,72,0
"2020-06-27",1597,7,6,236,72,0
"2020-06-28",1598,6,5,236,73,0
"2020-06-29",1598,6,5,236,73,0
