"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",8090,4988,938,1212,149,211
"2020-04-03",9147,5503,1046,1370,175,235
"2020-04-04",10248,6010,1155,1536,203,258
"2020-04-05",11385,6502,1264,1706,234,280
"2020-04-06",12548,6971,1371,1881,268,302
"2020-04-07",13728,7412,1475,2058,303,323
"2020-04-08",14915,7817,1575,2236,341,343
"2020-04-09",16103,8184,1670,2414,381,361
"2020-04-10",17282,8509,1759,2591,422,378
"2020-04-11",18446,8790,1842,2765,465,393
"2020-04-12",19590,9025,1917,2937,510,406
"2020-04-13",20707,9214,1985,3104,555,418
"2020-04-14",21794,9357,2044,3267,601,427
"2020-04-15",22846,9456,2096,3425,648,434
"2020-04-16",23861,9511,2140,3578,695,440
"2020-04-17",24837,9525,2176,3724,742,444
"2020-04-18",25771,9501,2204,3864,789,446
"2020-04-19",26662,9441,2224,3998,836,446
"2020-04-20",27511,9347,2237,4125,883,445
"2020-04-21",28316,9223,2244,4246,929,442
"2020-04-22",29078,9073,2243,4360,974,438
"2020-04-23",29797,8898,2236,4468,1019,433
"2020-04-24",30474,8702,2224,4569,1063,426
"2020-04-25",31111,8488,2206,4665,1105,419
"2020-04-26",31708,8259,2183,4755,1147,410
"2020-04-27",32266,8017,2156,4838,1187,401
"2020-04-28",32788,7765,2125,4917,1226,391
"2020-04-29",33275,7505,2090,4990,1264,381
"2020-04-30",33728,7239,2052,5058,1301,370
"2020-05-01",34149,6970,2011,5121,1336,359
"2020-05-02",34539,6699,1968,5179,1370,347
"2020-05-03",34901,6428,1922,5233,1403,335
"2020-05-04",35236,6158,1875,5284,1434,323
"2020-05-05",35545,5890,1827,5330,1464,311
"2020-05-06",35830,5627,1778,5373,1492,299
"2020-05-07",36094,5368,1727,5412,1520,287
"2020-05-08",36336,5114,1677,5449,1546,276
"2020-05-09",36558,4866,1626,5482,1570,264
"2020-05-10",36763,4626,1574,5513,1594,252
"2020-05-11",36951,4392,1523,5541,1616,241
"2020-05-12",37123,4166,1472,5567,1638,230
"2020-05-13",37280,3948,1422,5590,1658,219
"2020-05-14",37424,3739,1372,5612,1677,209
"2020-05-15",37556,3537,1323,5632,1695,199
"2020-05-16",37677,3343,1275,5650,1712,189
"2020-05-17",37786,3158,1227,5666,1728,179
"2020-05-18",37886,2981,1180,5681,1743,170
"2020-05-19",37978,2812,1135,5695,1758,161
"2020-05-20",38061,2652,1090,5707,1771,153
"2020-05-21",38136,2499,1047,5719,1784,144
"2020-05-22",38205,2353,1005,5729,1796,137
"2020-05-23",38267,2215,964,5738,1807,129
"2020-05-24",38324,2084,924,5747,1818,122
"2020-05-25",38375,1960,885,5755,1828,115
"2020-05-26",38422,1843,848,5762,1837,108
"2020-05-27",38464,1732,812,5768,1846,102
"2020-05-28",38503,1628,777,5774,1855,96
"2020-05-29",38537,1529,743,5779,1862,91
"2020-05-30",38568,1436,711,5784,1870,85
"2020-05-31",38597,1348,680,5788,1877,80
"2020-06-01",38622,1265,649,5792,1883,75
"2020-06-02",38645,1188,620,5795,1889,71
"2020-06-03",38666,1115,592,5798,1895,66
"2020-06-04",38685,1046,566,5801,1900,62
"2020-06-05",38702,982,540,5804,1905,59
"2020-06-06",38718,921,515,5806,1910,55
"2020-06-07",38731,864,492,5808,1915,51
"2020-06-08",38744,811,469,5810,1919,48
"2020-06-09",38755,761,447,5812,1923,45
"2020-06-10",38765,714,426,5813,1926,42
"2020-06-11",38774,670,406,5814,1930,40
"2020-06-12",38782,628,387,5816,1933,37
"2020-06-13",38789,590,369,5817,1936,35
"2020-06-14",38796,553,352,5818,1939,32
"2020-06-15",38802,519,335,5819,1941,30
"2020-06-16",38807,488,319,5819,1944,28
"2020-06-17",38812,458,304,5820,1946,26
"2020-06-18",38816,430,289,5821,1948,25
"2020-06-19",38820,404,275,5821,1951,23
"2020-06-20",38824,379,262,5822,1952,22
"2020-06-21",38827,356,249,5822,1954,20
"2020-06-22",38829,335,237,5823,1956,19
"2020-06-23",38832,315,226,5823,1958,18
