Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Vaccinated,Fully Vaccinated,Total Detected True,Total Detected Deaths True,Total Detected LB,Total Detected Deaths LB,Total Detected UB,Total Detected Deaths UB
Africa,Algeria,None,2021-04-19,119374,1690,82,1020,3153,12,0.0,0.0,,,119374,3153,119374,3153
Africa,Algeria,None,2021-04-20,119461,1669,81,1023,3156,12,0.0,0.0,,,119374,3153,119907,3165
Africa,Algeria,None,2021-04-21,119546,1648,79,1025,3159,12,0.0,0.0,,,119374,3153,120177,3172
Africa,Algeria,None,2021-04-22,119630,1627,78,1028,3161,12,0.0,0.0,,,119374,3153,120402,3177
Africa,Algeria,None,2021-04-23,119714,1606,77,1030,3164,12,0.0,0.0,,,119374,3153,120606,3183
Africa,Algeria,None,2021-04-24,119796,1586,76,1033,3167,12,0.0,0.0,,,119374,3153,120793,3188
Africa,Algeria,None,2021-04-25,119878,1567,76,1035,3169,12,0.0,0.0,,,119374,3153,120970,3192
Africa,Algeria,None,2021-04-26,119958,1547,75,1038,3172,11,0.0,0.0,,,119374,3153,121138,3197
Africa,Algeria,None,2021-04-27,120037,1528,74,1040,3174,11,0.0,0.0,,,119374,3153,121298,3201
Africa,Algeria,None,2021-04-28,120115,1509,73,1042,3177,11,0.0,0.0,,,119374,3153,121453,3205
Africa,Algeria,None,2021-04-29,120192,1490,72,1045,3180,11,0.0,0.0,,,119374,3153,121602,3210
Africa,Algeria,None,2021-04-30,120268,1471,71,1047,3182,11,0.0,0.0,,,119374,3153,121747,3213
Africa,Algeria,None,2021-05-01,120344,1453,70,1049,3185,11,0.0,0.0,,,119374,3153,121889,3218
Africa,Algeria,None,2021-05-02,120418,1435,69,1051,3187,11,0.0,0.0,,,119374,3153,122026,3221
Africa,Algeria,None,2021-05-03,120492,1417,68,1054,3190,10,0.0,0.0,,,119374,3155,122161,3225
Africa,Algeria,None,2021-05-04,120564,1399,67,1056,3192,10,0.0,0.0,,,119374,3155,122291,3229
Africa,Algeria,None,2021-05-05,120635,1382,66,1058,3194,10,0.0,0.0,,,119374,3156,122419,3232
Africa,Algeria,None,2021-05-06,120706,1364,66,1060,3197,10,0.0,0.0,,,119374,3158,122545,3236
Africa,Algeria,None,2021-05-07,120775,1347,65,1062,3199,10,0.0,0.0,,,119374,3159,122667,3239
Africa,Algeria,None,2021-05-08,120844,1330,64,1064,3202,10,0.0,0.0,,,119374,3161,122788,3243
Africa,Algeria,None,2021-05-09,120912,1314,63,1066,3204,10,0.0,0.0,,,119374,3162,122906,3246
Africa,Algeria,None,2021-05-10,120979,1298,62,1068,3206,10,0.0,0.0,,,119374,3163,123023,3249
Africa,Algeria,None,2021-05-11,121046,1282,62,1070,3209,9,0.0,0.0,,,119374,3165,123138,3253
Africa,Algeria,None,2021-05-12,121111,1266,61,1072,3211,9,0.0,0.0,,,119374,3166,123250,3256
Africa,Algeria,None,2021-05-13,121175,1250,60,1074,3213,9,0.0,0.0,,,119374,3167,123360,3259
Africa,Algeria,None,2021-05-14,121239,1234,59,1076,3216,9,0.0,0.0,,,119374,3169,123469,3263
Africa,Algeria,None,2021-05-15,121301,1219,58,1078,3218,9,0.0,0.0,,,119374,3170,123575,3266
Africa,Angola,None,2021-04-19,24655,1577,62,240,555,12,10975.847704991087,0.0,,,24655,555,24655,555
Africa,Angola,None,2021-04-20,24797,1612,63,245,555,12,11215.77133467023,0.0,,,24655,555,25269,562
Africa,Angola,None,2021-04-21,24941,1646,64,249,556,12,11455.694964349375,0.0,,,24655,555,25608,566
Africa,Angola,None,2021-04-22,25086,1679,66,253,557,12,11695.61859402852,0.0,,,24655,555,25903,569
Africa,Angola,None,2021-04-23,25231,1710,67,258,558,13,11935.542223707664,0.0,,,24655,555,26175,572
Africa,Angola,None,2021-04-24,25377,1739,68,262,558,13,12175.465853386808,0.0,,,24655,555,26432,574
