"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",2603,1765,316,384,41
"2020-04-02",3115,2078,376,461,50
"2020-04-03",3687,2417,441,547,61
"2020-04-04",4318,2778,511,641,74
"2020-04-05",5004,3156,586,744,88
"2020-04-06",5742,3548,665,855,104
"2020-04-07",6529,3947,747,973,123
"2020-04-08",7359,4349,831,1097,143
"2020-04-09",8228,4748,917,1228,165
"2020-04-10",9128,5140,1003,1363,189
"2020-04-11",10056,5519,1088,1502,215
"2020-04-12",11004,5881,1173,1644,242
"2020-04-13",11967,6223,1255,1788,272
"2020-04-14",12939,6541,1335,1934,303
"2020-04-15",13915,6833,1411,2081,335
"2020-04-16",14890,7096,1484,2227,369
"2020-04-17",15859,7330,1551,2372,404
"2020-04-18",16818,7532,1614,2516,440
"2020-04-19",17763,7703,1672,2658,477
"2020-04-20",18691,7842,1725,2797,515
"2020-04-21",19598,7949,1771,2933,553
"2020-04-22",20482,8026,1813,3066,592
"2020-04-23",21341,8072,1848,3195,631
"2020-04-24",22172,8090,1877,3319,670
"2020-04-25",22975,8080,1901,3440,709
"2020-04-26",23748,8045,1920,3556,749
"2020-04-27",24490,7985,1933,3667,787
"2020-04-28",25202,7903,1940,3774,826
"2020-04-29",25881,7801,1943,3876,864
"2020-04-30",26529,7680,1941,3973,902
"2020-05-01",27146,7542,1935,4065,939
"2020-05-02",27731,7389,1924,4153,975
"2020-05-03",28286,7224,1909,4236,1010
"2020-05-04",28811,7047,1891,4315,1045
"2020-05-05",29307,6860,1869,4389,1079
"2020-05-06",29775,6666,1845,4460,1111
"2020-05-07",30215,6466,1817,4526,1143
"2020-05-08",30628,6260,1787,4588,1174
"2020-05-09",31016,6051,1755,4646,1204
"2020-05-10",31379,5840,1721,4700,1233
"2020-05-11",31719,5627,1685,4751,1261
"2020-05-12",32037,5415,1647,4799,1288
"2020-05-13",32334,5203,1609,4843,1313
"2020-05-14",32610,4993,1569,4885,1338
"2020-05-15",32868,4785,1529,4924,1362
"2020-05-16",33107,4581,1487,4959,1385
"2020-05-17",33329,4380,1446,4993,1406
"2020-05-18",33536,4184,1404,5024,1427
"2020-05-19",33727,3992,1362,5052,1447
"2020-05-20",33904,3805,1320,5079,1466
"2020-05-21",34068,3624,1278,5104,1484
"2020-05-22",34219,3448,1237,5126,1501
"2020-05-23",34359,3277,1196,5147,1517
"2020-05-24",34488,3113,1155,5167,1533
"2020-05-25",34607,2955,1115,5184,1548
"2020-05-26",34716,2802,1076,5201,1561
"2020-05-27",34817,2656,1037,5216,1575
"2020-05-28",34910,2516,999,5230,1587
"2020-05-29",34995,2381,961,5243,1599
"2020-05-30",35073,2253,925,5254,1610
"2020-05-31",35145,2130,889,5265,1621
"2020-06-01",35211,2013,855,5275,1631
"2020-06-02",35271,1901,821,5284,1641
"2020-06-03",35326,1794,788,5292,1650
"2020-06-04",35377,1693,756,5300,1658
"2020-06-05",35423,1597,725,5307,1666
"2020-06-06",35465,1506,696,5313,1673
"2020-06-07",35504,1420,667,5319,1681
"2020-06-08",35539,1338,638,5324,1687
"2020-06-09",35571,1260,611,5329,1694
"2020-06-10",35600,1187,585,5333,1700
"2020-06-11",35627,1117,560,5337,1705
"2020-06-12",35651,1052,536,5341,1710
"2020-06-13",35673,990,512,5344,1715
"2020-06-14",35694,931,490,5347,1720
"2020-06-15",35712,876,468,5350,1724
"2020-06-16",35729,824,447,5353,1728
"2020-06-17",35744,775,427,5355,1732
"2020-06-18",35757,729,408,5357,1736
"2020-06-19",35770,685,389,5359,1739
"2020-06-20",35781,644,372,5361,1743
"2020-06-21",35791,606,355,5362,1746
"2020-06-22",35801,570,338,5364,1749
"2020-06-23",35809,535,323,5365,1751
"2020-06-24",35817,503,308,5366,1754
"2020-06-25",35824,473,293,5367,1756
"2020-06-26",35830,445,280,5368,1758
"2020-06-27",35836,418,267,5369,1760
"2020-06-28",35841,393,254,5370,1762
