"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",791,450,86,114,23
"2020-04-02",866,478,92,125,26
"2020-04-03",941,502,98,136,30
"2020-04-04",1015,523,104,147,33
"2020-04-05",1087,540,109,158,37
"2020-04-06",1158,554,114,169,41
"2020-04-07",1226,565,118,179,45
"2020-04-08",1291,572,121,189,48
"2020-04-09",1354,576,124,198,52
"2020-04-10",1414,577,127,207,56
"2020-04-11",1471,576,128,216,60
"2020-04-12",1525,572,130,224,64
"2020-04-13",1576,565,130,231,68
"2020-04-14",1624,557,131,239,72
"2020-04-15",1669,546,131,245,76
"2020-04-16",1712,534,130,252,80
"2020-04-17",1751,521,129,258,83
"2020-04-18",1788,506,128,263,87
"2020-04-19",1822,491,126,268,90
"2020-04-20",1854,475,124,273,93
"2020-04-21",1884,458,122,278,97
"2020-04-22",1911,441,120,282,100
"2020-04-23",1936,424,117,285,103
"2020-04-24",1959,406,115,289,106
"2020-04-25",1981,389,112,292,108
"2020-04-26",2001,372,109,295,111
"2020-04-27",2019,354,106,298,113
"2020-04-28",2035,337,103,300,116
"2020-04-29",2050,321,100,303,118
"2020-04-30",2064,305,97,305,120
"2020-05-01",2077,289,94,307,122
"2020-05-02",2088,274,90,308,124
"2020-05-03",2099,259,87,310,126
"2020-05-04",2109,245,84,311,128
"2020-05-05",2117,231,81,313,129
"2020-05-06",2125,218,78,314,131
"2020-05-07",2132,206,75,315,132
"2020-05-08",2139,194,72,316,134
"2020-05-09",2145,183,69,317,135
"2020-05-10",2150,172,66,318,136
"2020-05-11",2155,161,64,318,137
"2020-05-12",2160,152,61,319,138
"2020-05-13",2164,142,59,320,139
"2020-05-14",2167,134,56,320,140
"2020-05-15",2170,125,54,321,141
"2020-05-16",2173,118,51,321,142
"2020-05-17",2176,110,49,321,143
"2020-05-18",2178,103,47,322,144
"2020-05-19",2181,97,45,322,144
"2020-05-20",2183,91,43,322,145
"2020-05-21",2184,85,41,323,146
"2020-05-22",2186,79,39,323,146
"2020-05-23",2187,74,37,323,147
"2020-05-24",2188,69,35,323,147
"2020-05-25",2190,65,34,323,148
"2020-05-26",2191,61,32,324,148
"2020-05-27",2192,57,31,324,148
"2020-05-28",2192,53,29,324,149
"2020-05-29",2193,50,28,324,149
"2020-05-30",2194,47,26,324,150
"2020-05-31",2194,44,25,324,150
"2020-06-01",2195,41,24,324,150
"2020-06-02",2195,38,23,324,150
"2020-06-03",2196,36,22,324,151
"2020-06-04",2196,33,21,324,151
"2020-06-05",2197,31,20,325,151
"2020-06-06",2197,29,19,325,151
"2020-06-07",2197,27,18,325,152
"2020-06-08",2197,26,17,325,152
"2020-06-09",2198,24,16,325,152
"2020-06-10",2198,22,15,325,152
"2020-06-11",2198,21,14,325,152
"2020-06-12",2198,20,14,325,152
"2020-06-13",2198,18,13,325,152
"2020-06-14",2198,17,12,325,153
"2020-06-15",2198,16,12,325,153
"2020-06-16",2199,15,11,325,153
"2020-06-17",2199,14,11,325,153
"2020-06-18",2199,13,10,325,153
"2020-06-19",2199,13,9,325,153
"2020-06-20",2199,12,9,325,153
"2020-06-21",2199,11,9,325,153
"2020-06-22",2199,10,8,325,153
"2020-06-23",2199,10,8,325,153
"2020-06-24",2199,9,7,325,153
"2020-06-25",2199,9,7,325,153
"2020-06-26",2199,8,7,325,154
"2020-06-27",2199,8,6,325,154
