"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",3790,2183,421,563,86,94
"2020-04-03",4171,2332,456,621,99,101
"2020-04-04",4554,2468,489,678,112,107
"2020-04-05",4939,2592,520,736,126,113
"2020-04-06",5320,2702,550,793,140,119
"2020-04-07",5698,2798,577,850,155,124
"2020-04-08",6069,2878,603,905,171,129
"2020-04-09",6432,2944,625,960,187,132
"2020-04-10",6785,2995,645,1013,203,136
"2020-04-11",7127,3031,663,1064,220,138
"2020-04-12",7458,3052,678,1114,237,140
"2020-04-13",7776,3061,690,1161,254,142
"2020-04-14",8081,3057,700,1207,270,142
"2020-04-15",8372,3041,707,1251,287,143
"2020-04-16",8650,3014,712,1293,304,142
"2020-04-17",8914,2977,715,1332,320,142
"2020-04-18",9164,2931,715,1370,337,140
"2020-04-19",9400,2877,714,1405,352,139
"2020-04-20",9622,2817,710,1438,368,137
"2020-04-21",9832,2750,705,1470,383,135
"2020-04-22",10029,2678,698,1499,398,132
"2020-04-23",10213,2602,690,1527,413,129
"2020-04-24",10386,2522,681,1553,427,126
"2020-04-25",10547,2439,670,1577,441,123
"2020-04-26",10697,2355,658,1600,454,119
"2020-04-27",10836,2269,645,1620,467,116
"2020-04-28",10966,2182,632,1640,479,112
"2020-04-29",11086,2095,617,1658,491,108
"2020-04-30",11198,2009,603,1675,502,105
"2020-05-01",11301,1923,587,1690,513,101
"2020-05-02",11396,1838,572,1704,523,97
"2020-05-03",11484,1754,556,1718,533,93
"2020-05-04",11565,1672,540,1730,542,89
"2020-05-05",11640,1592,523,1741,551,86
"2020-05-06",11708,1514,507,1751,560,82
"2020-05-07",11771,1439,491,1761,568,78
"2020-05-08",11829,1365,474,1769,576,75
"2020-05-09",11882,1294,458,1777,583,71
"2020-05-10",11931,1226,442,1785,590,68
"2020-05-11",11975,1160,426,1791,596,65
"2020-05-12",12016,1097,411,1797,603,61
"2020-05-13",12053,1037,396,1803,608,58
"2020-05-14",12087,979,381,1808,614,55
"2020-05-15",12118,924,366,1813,619,52
"2020-05-16",12146,871,352,1817,624,50
"2020-05-17",12172,821,338,1821,629,47
"2020-05-18",12195,774,324,1824,633,45
"2020-05-19",12216,728,311,1827,637,42
"2020-05-20",12236,686,298,1830,641,40
"2020-05-21",12253,645,285,1833,645,37
"2020-05-22",12269,606,273,1835,648,35
"2020-05-23",12283,570,262,1838,652,33
"2020-05-24",12297,536,250,1840,655,31
"2020-05-25",12308,503,240,1841,657,30
"2020-05-26",12319,472,229,1843,660,28
"2020-05-27",12329,444,219,1844,663,26
"2020-05-28",12338,416,209,1846,665,25
"2020-05-29",12346,391,200,1847,667,23
"2020-05-30",12353,367,191,1848,669,22
"2020-05-31",12359,344,182,1849,671,20
"2020-06-01",12365,323,174,1850,673,19
"2020-06-02",12370,303,166,1851,675,18
"2020-06-03",12375,284,158,1851,676,17
"2020-06-04",12380,266,151,1852,678,16
"2020-06-05",12383,250,144,1853,679,15
"2020-06-06",12387,234,137,1853,681,14
"2020-06-07",12390,220,131,1854,682,13
"2020-06-08",12393,206,124,1854,683,12
"2020-06-09",12395,193,119,1854,684,11
"2020-06-10",12398,181,113,1855,685,11
"2020-06-11",12400,170,108,1855,686,10
"2020-06-12",12402,160,102,1855,687,9
"2020-06-13",12403,150,97,1856,688,9
"2020-06-14",12405,141,93,1856,689,8
"2020-06-15",12406,132,88,1856,690,8
"2020-06-16",12407,124,84,1856,690,7
"2020-06-17",12408,116,80,1856,691,7
"2020-06-18",12409,109,76,1856,692,6
"2020-06-19",12410,103,72,1857,692,6
"2020-06-20",12411,96,69,1857,693,5
"2020-06-21",12412,91,65,1857,693,5
