"State","Date","Shortage","Supply","Demand","Param1","Param2","Param3"
"New Mexico",2020-04-10,-168.5,186.5,18,1000,1000,1000
"New York",2020-04-10,1142,2262,3404,1000,1000,1000
"North Carolina",2020-04-10,-892,980,88,1000,1000,1000
"North Dakota",2020-04-10,-94,102,8,1000,1000,1000
"Ohio",2020-04-10,-1255.5,1382.5,127,1000,1000,1000
"Oklahoma",2020-04-10,-349.5,390.5,41,1000,1000,1000
"Oregon",2020-04-10,-250,277,27,1000,1000,1000
"Pennsylvania",2020-04-10,-998.5,1518.5,520,1000,1000,1000
"Rhode Island",2020-04-10,-66.5,98.5,32,1000,1000,1000
"South Carolina",2020-04-10,-452,528,76,1000,1000,1000
"South Dakota",2020-04-10,-71,81,10,1000,1000,1000
"Tennessee",2020-04-10,-706,816,110,1000,1000,1000
"Texas",2020-04-10,-2866.5,3124.5,258,1000,1000,1000
"Utah",2020-04-10,-243.5,291.5,48,1000,1000,1000
"Vermont",2020-04-10,-34,45,11,1000,1000,1000
"Virginia",2020-04-10,-615.5,711.5,96,1000,1000,1000
"Washington",2020-04-10,-330.5,473.5,143,1000,1000,1000
"West Virginia",2020-04-10,-254,266,12,1000,1000,1000
"Wisconsin",2020-04-10,-382.5,442.5,60,1000,1000,1000
"Wyoming",2020-04-10,-54,60,6,1000,1000,1000
"Alabama",2020-04-11,-420,472,52,1000,1000,1000
"Alaska",2020-04-11,-48.5,53.5,5,1000,1000,1000
"Arizona",2020-04-11,-677.5,745.5,68,1000,1000,1000
"Arkansas",2020-04-11,-310.5,327.5,17,1000,1000,1000
"California",2020-04-11,-3001,3494,493,1000,1000,1000
"Colorado",2020-04-11,-389.5,522.5,133,1000,1000,1000
"Connecticut",2020-04-11,-92,343,251,1000,1000,1000
"Delaware",2020-04-11,-83.5,108.5,25,1000,1000,1000
"Florida",2020-04-11,-1989,2460,471,1000,1000,1000
"Georgia",2020-04-11,-897,1147,250,1000,1000,1000
"Hawaii",2020-04-11,-115.5,125.5,10,1000,1000,1000
"Idaho",2020-04-11,-57.5,103.5,46,1000,1000,1000
"Illinois",2020-04-11,-759,1141,382,1000,1000,1000
"Indiana",2020-04-11,-575,764,189,1000,1000,1000
"Iowa",2020-04-11,-254.5,280.5,26,1000,1000,1000
"Kansas",2020-04-11,-242.5,262.5,20,1000,1000,1000
"Kentucky",2020-04-11,-461.5,488.5,27,1000,1000,1000
"Louisiana",2020-04-11,11.5,568.5,580,1000,1000,1000
"Maine",2020-04-11,-95.5,108.5,13,1000,1000,1000
"Maryland",2020-04-11,-358,499,141,1000,1000,1000
"Massachusetts",2020-04-11,-321,741,420,1000,1000,1000
"Michigan",2020-04-11,-347,933,586,1000,1000,1000
"Minnesota",2020-04-11,-412,431,19,1000,1000,1000
"Mississippi",2020-04-11,-335.5,385.5,50,1000,1000,1000
"Missouri",2020-04-11,-636.5,736.5,100,1000,1000,1000
"Montana",2020-04-11,-77.5,85.5,8,1000,1000,1000
"Nebraska",2020-04-11,-235,247,12,1000,1000,1000
"Nevada",2020-04-11,-378.5,429.5,51,1000,1000,1000
"New Hampshire",2020-04-11,-86,107,21,1000,1000,1000
"New Jersey",2020-04-11,716,751,1467,1000,1000,1000
"New Mexico",2020-04-11,-168.5,186.5,18,1000,1000,1000
"New York",2020-04-11,1230,2262,3492,1000,1000,1000
"North Carolina",2020-04-11,-888,980,92,1000,1000,1000
"North Dakota",2020-04-11,-93,102,9,1000,1000,1000
"Ohio",2020-04-11,-1251.5,1382.5,131,1000,1000,1000
"Oklahoma",2020-04-11,-347.5,390.5,43,1000,1000,1000
"Oregon",2020-04-11,-250,277,27,1000,1000,1000
"Pennsylvania",2020-04-11,-952.5,1518.5,566,1000,1000,1000
"Rhode Island",2020-04-11,-65.5,98.5,33,1000,1000,1000
"South Carolina",2020-04-11,-447,528,81,1000,1000,1000
"South Dakota",2020-04-11,-70,81,11,1000,1000,1000
"Tennessee",2020-04-11,-700,816,116,1000,1000,1000
"Texas",2020-04-11,-2851.5,3124.5,273,1000,1000,1000
"Utah",2020-04-11,-241.5,291.5,50,1000,1000,1000
"Vermont",2020-04-11,-34,45,11,1000,1000,1000
"Virginia",2020-04-11,-609.5,711.5,102,1000,1000,1000
"Washington",2020-04-11,-331.5,473.5,142,1000,1000,1000
"West Virginia",2020-04-11,-253,266,13,1000,1000,1000
"Wisconsin",2020-04-11,-381.5,442.5,61,1000,1000,1000
"Wyoming",2020-04-11,-54,60,6,1000,1000,1000
"Alabama",2020-04-12,-419,472,53,1000,1000,1000
"Alaska",2020-04-12,-48.5,53.5,5,1000,1000,1000
"Arizona",2020-04-12,-675.5,745.5,70,1000,1000,1000
"Arkansas",2020-04-12,-311.5,327.5,16,1000,1000,1000
"California",2020-04-12,-2983,3494,511,1000,1000,1000
"Colorado",2020-04-12,-388.5,522.5,134,1000,1000,1000
"Connecticut",2020-04-12,-78,343,265,1000,1000,1000
"Delaware",2020-04-12,-82.5,108.5,26,1000,1000,1000
"Florida",2020-04-12,-1966,2460,494,1000,1000,1000
"Georgia",2020-04-12,-887,1147,260,1000,1000,1000
"Hawaii",2020-04-12,-115.5,125.5,10,1000,1000,1000
"Idaho",2020-04-12,-55.5,103.5,48,1000,1000,1000
"Illinois",2020-04-12,-747,1141,394,1000,1000,1000
"Indiana",2020-04-12,-564,764,200,1000,1000,1000
"Iowa",2020-04-12,-253.5,280.5,27,1000,1000,1000
"Kansas",2020-04-12,-242.5,262.5,20,1000,1000,1000
"Kentucky",2020-04-12,-460.5,488.5,28,1000,1000,1000
"Louisiana",2020-04-12,47.5,568.5,616,1000,1000,1000
"Maine",2020-04-12,-95.5,108.5,13,1000,1000,1000
"Maryland",2020-04-12,-351,499,148,1000,1000,1000
"Massachusetts",2020-04-12,-312,741,429,1000,1000,1000
"Michigan",2020-04-12,-322,933,611,1000,1000,1000
"Minnesota",2020-04-12,-412,431,19,1000,1000,1000
"Mississippi",2020-04-12,-334.5,385.5,51,1000,1000,1000
"Missouri",2020-04-12,-630.5,736.5,106,1000,1000,1000
"Montana",2020-04-12,-77.5,85.5,8,1000,1000,1000
"Nebraska",2020-04-12,-234,247,13,1000,1000,1000
"Nevada",2020-04-12,-378.5,429.5,51,1000,1000,1000
"New Hampshire",2020-04-12,-86,107,21,1000,1000,1000
"New Jersey",2020-04-12,797,751,1548,1000,1000,1000
"New Mexico",2020-04-12,-168.5,186.5,18,1000,1000,1000
"New York",2020-04-12,1304,2262,3566,1000,1000,1000
"North Carolina",2020-04-12,-884,980,96,1000,1000,1000
"North Dakota",2020-04-12,-93,102,9,1000,1000,1000
"Ohio",2020-04-12,-1248.5,1382.5,134,1000,1000,1000
"Oklahoma",2020-04-12,-346.5,390.5,44,1000,1000,1000
"Oregon",2020-04-12,-249,277,28,1000,1000,1000
"Pennsylvania",2020-04-12,-907.5,1518.5,611,1000,1000,1000
"Rhode Island",2020-04-12,-64.5,98.5,34,1000,1000,1000
"South Carolina",2020-04-12,-441,528,87,1000,1000,1000
"South Dakota",2020-04-12,-70,81,11,1000,1000,1000
"Tennessee",2020-04-12,-696,816,120,1000,1000,1000
"Texas",2020-04-12,-2836.5,3124.5,288,1000,1000,1000
"Utah",2020-04-12,-239.5,291.5,52,1000,1000,1000
"Vermont",2020-04-12,-34,45,11,1000,1000,1000
"Virginia",2020-04-12,-604.5,711.5,107,1000,1000,1000
"Washington",2020-04-12,-332.5,473.5,141,1000,1000,1000
"West Virginia",2020-04-12,-253,266,13,1000,1000,1000
"Wisconsin",2020-04-12,-380.5,442.5,62,1000,1000,1000
"Wyoming",2020-04-12,-54,60,6,1000,1000,1000
"Alabama",2020-04-13,-419,472,53,1000,1000,1000
"Alaska",2020-04-13,-48.5,53.5,5,1000,1000,1000
"Arizona",2020-04-13,-674.5,745.5,71,1000,1000,1000
"Arkansas",2020-04-13,-311.5,327.5,16,1000,1000,1000
"California",2020-04-13,-2967,3494,527,1000,1000,1000
"Colorado",2020-04-13,-387.5,522.5,135,1000,1000,1000
"Connecticut",2020-04-13,-65,343,278,1000,1000,1000
"Delaware",2020-04-13,-81.5,108.5,27,1000,1000,1000
"Florida",2020-04-13,-1946,2460,514,1000,1000,1000
"Georgia",2020-04-13,-880,1147,267,1000,1000,1000
"Hawaii",2020-04-13,-115.5,125.5,10,1000,1000,1000
"Idaho",2020-04-13,-53.5,103.5,50,1000,1000,1000
"Illinois",2020-04-13,-736,1141,405,1000,1000,1000
"Indiana",2020-04-13,-554,764,210,1000,1000,1000
"Iowa",2020-04-13,-253.5,280.5,27,1000,1000,1000
"Kansas",2020-04-13,-242.5,262.5,20,1000,1000,1000
"Kentucky",2020-04-13,-460.5,488.5,28,1000,1000,1000
"Louisiana",2020-04-13,80.5,568.5,649,1000,1000,1000
"Maine",2020-04-13,-95.5,108.5,13,1000,1000,1000
"Maryland",2020-04-13,-344,499,155,1000,1000,1000
"Massachusetts",2020-04-13,-304,741,437,1000,1000,1000
"Michigan",2020-04-13,-300,933,633,1000,1000,1000
"Minnesota",2020-04-13,-413,431,18,1000,1000,1000
"Mississippi",2020-04-13,-332.5,385.5,53,1000,1000,1000
"Missouri",2020-04-13,-624.5,736.5,112,1000,1000,1000
"Montana",2020-04-13,-77.5,85.5,8,1000,1000,1000
"Nebraska",2020-04-13,-234,247,13,1000,1000,1000
"Nevada",2020-04-13,-377.5,429.5,52,1000,1000,1000
"New Hampshire",2020-04-13,-85,107,22,1000,1000,1000
"New Jersey",2020-04-13,873,751,1624,1000,1000,1000
"New Mexico",2020-04-13,-168.5,186.5,18,1000,1000,1000
"New York",2020-04-13,1364,2262,3626,1000,1000,1000
"North Carolina",2020-04-13,-881,980,99,1000,1000,1000
"North Dakota",2020-04-13,-92,102,10,1000,1000,1000
"Ohio",2020-04-13,-1245.5,1382.5,137,1000,1000,1000
"Oklahoma",2020-04-13,-344.5,390.5,46,1000,1000,1000
"Oregon",2020-04-13,-249,277,28,1000,1000,1000
"Pennsylvania",2020-04-13,-862.5,1518.5,656,1000,1000,1000
"Rhode Island",2020-04-13,-63.5,98.5,35,1000,1000,1000
"South Carolina",2020-04-13,-436,528,92,1000,1000,1000
"South Dakota",2020-04-13,-69,81,12,1000,1000,1000
"Tennessee",2020-04-13,-691,816,125,1000,1000,1000
"Texas",2020-04-13,-2822.5,3124.5,302,1000,1000,1000
"Utah",2020-04-13,-238.5,291.5,53,1000,1000,1000
"Vermont",2020-04-13,-34,45,11,1000,1000,1000
"Virginia",2020-04-13,-599.5,711.5,112,1000,1000,1000
"Washington",2020-04-13,-334.5,473.5,139,1000,1000,1000
"West Virginia",2020-04-13,-253,266,13,1000,1000,1000
