"State","Date","Shortage","Supply","Demand","Param1","Param2","Param3"
"Wyoming",2020-04-07,-59,60,1,1000,1000,1000
"Wisconsin",2020-04-07,-303.5,442.5,139,1000,1000,1000
"West Virginia",2020-04-07,-253,266,13,1000,1000,1000
"Washington",2020-04-07,-312.5,473.5,161,1000,1000,1000
"Virginia",2020-04-07,-534.5,711.5,177,1000,1000,1000
"Vermont",2020-04-07,-36,45,9,1000,1000,1000
"Utah",2020-04-07,-271.5,291.5,20,1000,1000,1000
"Texas",2020-04-07,-2850.5,3124.5,274,1000,1000,1000
"Tennessee",2020-04-07,-677,816,139,1000,1000,1000
"South Dakota",2020-04-07,-78,81,3,1000,1000,1000
"South Carolina",2020-04-07,-468,528,60,1000,1000,1000
"Rhode Island",2020-04-07,-39.5,98.5,59,1000,1000,1000
"Pennsylvania",2020-04-07,-1291.5,1518.5,227,1000,1000,1000
"Oregon",2020-04-07,-253,277,24,1000,1000,1000
"Oklahoma",2020-04-07,-282.5,390.5,108,1000,1000,1000
"Ohio",2020-04-07,-1165.5,1382.5,217,1000,1000,1000
"North Dakota",2020-04-07,-10,102,92,1000,1000,1000
"North Carolina",2020-04-07,-841,980,139,1000,1000,1000
"New York",2020-04-07,3332,2262,5594,1000,1000,1000
"New Mexico",2020-04-07,-117.5,186.5,69,1000,1000,1000
"New Jersey",2020-04-07,1925,751,2676,1000,1000,1000
"New Hampshire",2020-04-07,-101,107,6,1000,1000,1000
"Nevada",2020-04-07,-246.5,429.5,183,1000,1000,1000
"Nebraska",2020-04-07,-213,247,34,1000,1000,1000
"Montana",2020-04-07,-80.5,85.5,5,1000,1000,1000
"Missouri",2020-04-07,-688.5,736.5,48,1000,1000,1000
"Mississippi",2020-04-07,-335.5,385.5,50,1000,1000,1000
"Minnesota",2020-04-07,-356,431,75,1000,1000,1000
"Michigan",2020-04-07,427,933,1360,1000,1000,1000
"Massachusetts",2020-04-07,308,741,1049,1000,1000,1000
"Maryland",2020-04-07,-163,499,336,1000,1000,1000
"Maine",2020-04-07,-79.5,108.5,29,1000,1000,1000
"Louisiana",2020-04-07,-327.5,568.5,241,1000,1000,1000
"Kentucky",2020-04-07,-360.5,488.5,128,1000,1000,1000
"Kansas",2020-04-07,-222.5,262.5,40,1000,1000,1000
"Iowa",2020-04-07,-243.5,280.5,37,1000,1000,1000
"Indiana",2020-04-07,-402,764,362,1000,1000,1000
"Illinois",2020-04-07,-194,1141,947,1000,1000,1000
"Idaho",2020-04-07,-84.5,103.5,19,1000,1000,1000
"Hawaii",2020-04-07,-78.5,125.5,47,1000,1000,1000
"Georgia",2020-04-07,-655,1147,492,1000,1000,1000
"Florida",2020-04-07,-1817,2460,643,1000,1000,1000
"Delaware",2020-04-07,-87.5,108.5,21,1000,1000,1000
"Connecticut",2020-04-07,205,343,548,1000,1000,1000
"Colorado",2020-04-07,-404.5,522.5,118,1000,1000,1000
"California",2020-04-07,-2996,3494,498,1000,1000,1000
"Arkansas",2020-04-07,-293.5,327.5,34,1000,1000,1000
"Arizona",2020-04-07,-668.5,745.5,77,1000,1000,1000
"Alaska",2020-04-07,46.5,53.5,100,1000,1000,1000
"Alabama",2020-04-07,-308,472,164,1000,1000,1000
"Wyoming",2020-04-08,-58,60,2,1000,1000,1000
"Wisconsin",2020-04-08,-289.5,442.5,153,1000,1000,1000
"West Virginia",2020-04-08,-248,266,18,1000,1000,1000
"Washington",2020-04-08,-313.5,473.5,160,1000,1000,1000
"Virginia",2020-04-08,-509.5,711.5,202,1000,1000,1000
"Vermont",2020-04-08,-36,45,9,1000,1000,1000
"Utah",2020-04-08,-268.5,291.5,23,1000,1000,1000
"Texas",2020-04-08,-2817.5,3124.5,307,1000,1000,1000
"Tennessee",2020-04-08,-665,816,151,1000,1000,1000
"South Dakota",2020-04-08,-77,81,4,1000,1000,1000
"South Carolina",2020-04-08,-464,528,64,1000,1000,1000
"Rhode Island",2020-04-08,-33.5,98.5,65,1000,1000,1000
"Pennsylvania",2020-04-08,-1279.5,1518.5,239,1000,1000,1000
"Oregon",2020-04-08,-251,277,26,1000,1000,1000
"Oklahoma",2020-04-08,-272.5,390.5,118,1000,1000,1000
"Ohio",2020-04-08,-1159.5,1382.5,223,1000,1000,1000
"North Dakota",2020-04-08,-4,102,98,1000,1000,1000
"North Carolina",2020-04-08,-824,980,156,1000,1000,1000
"New York",2020-04-08,3402,2262,5664,1000,1000,1000
"New Mexico",2020-04-08,-105.5,186.5,81,1000,1000,1000
"New Jersey",2020-04-08,2213,751,2964,1000,1000,1000
"New Hampshire",2020-04-08,-100,107,7,1000,1000,1000
"Nevada",2020-04-08,-220.5,429.5,209,1000,1000,1000
"Nebraska",2020-04-08,-208,247,39,1000,1000,1000
"Montana",2020-04-08,-79.5,85.5,6,1000,1000,1000
"Missouri",2020-04-08,-683.5,736.5,53,1000,1000,1000
"Mississippi",2020-04-08,-333.5,385.5,52,1000,1000,1000
"Minnesota",2020-04-08,-347,431,84,1000,1000,1000
"Michigan",2020-04-08,471,933,1404,1000,1000,1000
"Massachusetts",2020-04-08,449,741,1190,1000,1000,1000
"Maryland",2020-04-08,-97,499,402,1000,1000,1000
"Maine",2020-04-08,-77.5,108.5,31,1000,1000,1000
"Louisiana",2020-04-08,-345.5,568.5,223,1000,1000,1000
"Kentucky",2020-04-08,-339.5,488.5,149,1000,1000,1000
"Kansas",2020-04-08,-218.5,262.5,44,1000,1000,1000
"Iowa",2020-04-08,-238.5,280.5,42,1000,1000,1000
"Indiana",2020-04-08,-361,764,403,1000,1000,1000
"Illinois",2020-04-08,-102,1141,1039,1000,1000,1000
"Idaho",2020-04-08,-82.5,103.5,21,1000,1000,1000
"Hawaii",2020-04-08,-67.5,125.5,58,1000,1000,1000
"Georgia",2020-04-08,-595,1147,552,1000,1000,1000
"Florida",2020-04-08,-1734,2460,726,1000,1000,1000
"Delaware",2020-04-08,-88.5,108.5,20,1000,1000,1000
"Connecticut",2020-04-08,277,343,620,1000,1000,1000
"Colorado",2020-04-08,-404.5,522.5,118,1000,1000,1000
"California",2020-04-08,-2962,3494,532,1000,1000,1000
"Arkansas",2020-04-08,-290.5,327.5,37,1000,1000,1000
"Arizona",2020-04-08,-661.5,745.5,84,1000,1000,1000
"Alaska",2020-04-08,50.5,53.5,104,1000,1000,1000
"Alabama",2020-04-08,-291,472,181,1000,1000,1000
"Wyoming",2020-04-09,-57,60,3,1000,1000,1000
"Wisconsin",2020-04-09,-275.5,442.5,167,1000,1000,1000
"West Virginia",2020-04-09,-239,266,27,1000,1000,1000
"Washington",2020-04-09,-315.5,473.5,158,1000,1000,1000
"Virginia",2020-04-09,-483.5,711.5,228,1000,1000,1000
"Vermont",2020-04-09,-36,45,9,1000,1000,1000
"Utah",2020-04-09,-266.5,291.5,25,1000,1000,1000
"Texas",2020-04-09,-2783.5,3124.5,341,1000,1000,1000
"Tennessee",2020-04-09,-654,816,162,1000,1000,1000
"South Dakota",2020-04-09,-76,81,5,1000,1000,1000
"South Carolina",2020-04-09,-459,528,69,1000,1000,1000
"Rhode Island",2020-04-09,-25.5,98.5,73,1000,1000,1000
"Pennsylvania",2020-04-09,-1269.5,1518.5,249,1000,1000,1000
"Oregon",2020-04-09,-249,277,28,1000,1000,1000
"Oklahoma",2020-04-09,-261.5,390.5,129,1000,1000,1000
"Ohio",2020-04-09,-1154.5,1382.5,228,1000,1000,1000
"North Dakota",2020-04-09,1,102,103,1000,1000,1000
"North Carolina",2020-04-09,-807,980,173,1000,1000,1000
"New York",2020-04-09,3440,2262,5702,1000,1000,1000
"New Mexico",2020-04-09,-93.5,186.5,93,1000,1000,1000
"New Jersey",2020-04-09,2444,751,3195,1000,1000,1000
"New Hampshire",2020-04-09,-99,107,8,1000,1000,1000
"Nevada",2020-04-09,-198.5,429.5,231,1000,1000,1000
"Nebraska",2020-04-09,-202,247,45,1000,1000,1000
"Montana",2020-04-09,-79.5,85.5,6,1000,1000,1000
"Missouri",2020-04-09,-680.5,736.5,56,1000,1000,1000
"Mississippi",2020-04-09,-330.5,385.5,55,1000,1000,1000
"Minnesota",2020-04-09,-339,431,92,1000,1000,1000
"Michigan",2020-04-09,487,933,1420,1000,1000,1000
"Massachusetts",2020-04-09,628,741,1369,1000,1000,1000
"Maryland",2020-04-09,-26,499,473,1000,1000,1000
"Maine",2020-04-09,-74.5,108.5,34,1000,1000,1000
"Louisiana",2020-04-09,-360.5,568.5,208,1000,1000,1000
"Kentucky",2020-04-09,-314.5,488.5,174,1000,1000,1000
"Kansas",2020-04-09,-214.5,262.5,48,1000,1000,1000
"Iowa",2020-04-09,-234.5,280.5,46,1000,1000,1000
"Indiana",2020-04-09,-310,764,454,1000,1000,1000
"Illinois",2020-04-09,2,1141,1143,1000,1000,1000
"Idaho",2020-04-09,-81.5,103.5,22,1000,1000,1000
"Hawaii",2020-04-09,-56.5,125.5,69,1000,1000,1000
"Georgia",2020-04-09,-537,1147,610,1000,1000,1000
"Florida",2020-04-09,-1608,2460,852,1000,1000,1000
"Delaware",2020-04-09,-88.5,108.5,20,1000,1000,1000
"Connecticut",2020-04-09,368,343,711,1000,1000,1000
"Colorado",2020-04-09,-409.5,522.5,113,1000,1000,1000
"California",2020-04-09,-2931,3494,563,1000,1000,1000
"Arkansas",2020-04-09,-287.5,327.5,40,1000,1000,1000
"Arizona",2020-04-09,-655.5,745.5,90,1000,1000,1000
"Alaska",2020-04-09,52.5,53.5,106,1000,1000,1000
"Alabama",2020-04-09,-273,472,199,1000,1000,1000
"Wyoming",2020-04-10,-56,60,4,1000,1000,1000
"Wisconsin",2020-04-10,-256.5,442.5,186,1000,1000,1000
"West Virginia",2020-04-10,-228,266,38,1000,1000,1000
"Washington",2020-04-10,-317.5,473.5,156,1000,1000,1000
"Virginia",2020-04-10,-456.5,711.5,255,1000,1000,1000
"Vermont",2020-04-10,-36,45,9,1000,1000,1000
"Utah",2020-04-10,-264.5,291.5,27,1000,1000,1000
"Texas",2020-04-10,-2752.5,3124.5,372,1000,1000,1000
"Tennessee",2020-04-10,-644,816,172,1000,1000,1000
"South Dakota",2020-04-10,-74,81,7,1000,1000,1000
"South Carolina",2020-04-10,-455,528,73,1000,1000,1000
"Rhode Island",2020-04-10,-18.5,98.5,80,1000,1000,1000
"Pennsylvania",2020-04-10,-1257.5,1518.5,261,1000,1000,1000
"Oregon",2020-04-10,-248,277,29,1000,1000,1000
"Oklahoma",2020-04-10,-248.5,390.5,142,1000,1000,1000
"Ohio",2020-04-10,-1153.5,1382.5,229,1000,1000,1000
"North Dakota",2020-04-10,9,102,111,1000,1000,1000
"North Carolina",2020-04-10,-790,980,190,1000,1000,1000
"New York",2020-04-10,3379,2262,5641,1000,1000,1000
"New Mexico",2020-04-10,-80.5,186.5,106,1000,1000,1000
"New Jersey",2020-04-10,2712,751,3463,1000,1000,1000
"New Hampshire",2020-04-10,-98,107,9,1000,1000,1000
"Nevada",2020-04-10,-172.5,429.5,257,1000,1000,1000
"Nebraska",2020-04-10,-195,247,52,1000,1000,1000
"Montana",2020-04-10,-79.5,85.5,6,1000,1000,1000
"Missouri",2020-04-10,-674.5,736.5,62,1000,1000,1000
"Mississippi",2020-04-10,-327.5,385.5,58,1000,1000,1000
"Minnesota",2020-04-10,-330,431,101,1000,1000,1000
"Michigan",2020-04-10,466,933,1399,1000,1000,1000
"Massachusetts",2020-04-10,781,741,1522,1000,1000,1000
"Maryland",2020-04-10,47,499,546,1000,1000,1000
"Maine",2020-04-10,-72.5,108.5,36,1000,1000,1000
"Louisiana",2020-04-10,-381.5,568.5,187,1000,1000,1000
"Kentucky",2020-04-10,-294.5,488.5,194,1000,1000,1000
"Kansas",2020-04-10,-209.5,262.5,53,1000,1000,1000
"Iowa",2020-04-10,-230.5,280.5,50,1000,1000,1000
"Indiana",2020-04-10,-266,764,498,1000,1000,1000
"Illinois",2020-04-10,105,1141,1246,1000,1000,1000
"Idaho",2020-04-10,-80.5,103.5,23,1000,1000,1000
"Hawaii",2020-04-10,-42.5,125.5,83,1000,1000,1000
"Georgia",2020-04-10,-477,1147,670,1000,1000,1000
"Florida",2020-04-10,-1492,2460,968,1000,1000,1000
"Delaware",2020-04-10,-88.5,108.5,20,1000,1000,1000
"Connecticut",2020-04-10,453,343,796,1000,1000,1000
"Colorado",2020-04-10,-409.5,522.5,113,1000,1000,1000
"California",2020-04-10,-2899,3494,595,1000,1000,1000
"Arkansas",2020-04-10,-284.5,327.5,43,1000,1000,1000
"Arizona",2020-04-10,-649.5,745.5,96,1000,1000,1000
"Alaska",2020-04-10,55.5,53.5,109,1000,1000,1000
"Alabama",2020-04-10,-253,472,219,1000,1000,1000
"Wyoming",2020-04-11,-55,60,5,1000,1000,1000
"Wisconsin",2020-04-11,-244.5,442.5,198,1000,1000,1000
"West Virginia",2020-04-11,-217,266,49,1000,1000,1000
"Washington",2020-04-11,-316.5,473.5,157,1000,1000,1000
"Virginia",2020-04-11,-432.5,711.5,279,1000,1000,1000
"Vermont",2020-04-11,-36,45,9,1000,1000,1000
"Utah",2020-04-11,-261.5,291.5,30,1000,1000,1000
"Texas",2020-04-11,-2721.5,3124.5,403,1000,1000,1000
"Tennessee",2020-04-11,-635,816,181,1000,1000,1000
"South Dakota",2020-04-11,-72,81,9,1000,1000,1000
